traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-0.09999999999999987,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05053943137517037
1,0,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.052014612627178554
1,0.10000000000000009,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.0535304248905825
1,0.20000000000000018,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.055087844062625464
1,0.30000000000000027,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05668786103378224
1,0.40000000000000036,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.05833148139206559
1,0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06001972508595767
1,0.6000000000000001,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.061753626043861316
1,0.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06353423174788551
1,0.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06536260275978972
1,0.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06723981219682602
1,1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.06916694515525416
1,1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07114509807924413
1,1.2000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.0731753780729231
1,1.3000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07525890215326107
1,1.4000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07739679644156625
1,1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.07959019529133134
1,1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.08184024035026068
1,1.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.08414807955428379
1,1.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.0865148660514751
1,1.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.0889417570538767
1,2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.09142991261524835
2,-2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.10110951227080418
2,-1.9,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.10427933868717783
2,-1.8,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.10753665197219082
2,-1.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.11088311661689343
2,-1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.11432038107962623
2,-1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.11785007411724813
2,-1.4,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.12147380093650041
2,-1.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.12519313916635816
2,-1.2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.1290096346532521
2,-1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.13292479708208332
2,-1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.13694009542697175
