traj_cluster_ra,h,rs,n,prop
1,68,LOW_O2,5147,0.7373925501432664
1,68,NIV,493,0.07063037249283667
1,68,OTHER,30,0.004297994269340974
1,68,ROOM AIR,1265,0.1812320916905444
1,69,IMV,54,0.007736389684813753
1,69,LOW_O2,5097,0.7302292263610315
1,69,NIV,494,0.07077363896848138
1,69,OTHER,29,0.004154727793696275
1,69,ROOM AIR,1306,0.1871060171919771
1,70,IMV,60,0.008595988538681949
1,70,LOW_O2,5064,0.7255014326647564
1,70,NIV,497,0.07120343839541547
1,70,OTHER,24,0.0034383954154727794
1,70,ROOM AIR,1335,0.19126074498567336
1,71,IMV,59,0.00845272206303725
1,71,LOW_O2,5030,0.7206303724928367
1,71,NIV,512,0.07335243553008595
1,71,OTHER,27,0.0038681948424068766
1,71,ROOM AIR,1352,0.19369627507163323
1,72,IMV,59,0.00845272206303725
1,72,LOW_O2,4948,0.7088825214899713
1,72,NIV,546,0.07822349570200574
1,72,OTHER,38,0.0054441260744985676
1,72,ROOM AIR,1389,0.1989971346704871
2,0,IMV,4155,0.7540834845735027
2,0,LOW_O2,489,0.08874773139745916
2,0,NIV,734,0.13321234119782213
2,0,OTHER,20,0.003629764065335753
2,0,ROOM AIR,112,0.020326678765880218
2,1,IMV,4270,0.77495462794918335
2,1,LOW_O2,430,0.0780399274047187
2,1,NIV,694,0.12595281306715064
2,1,OTHER,22,0.003992740471869328
2,1,ROOM AIR,94,0.01705989110707804
2,2,IMV,4350,0.7894736842105263
2,2,LOW_O2,399,0.07241379310344828
2,2,NIV,654,0.11869328493647913
2,2,OTHER,25,0.004537205081669692
2,2,ROOM AIR,82,0.014882032667876587
2,3,IMV,4428,0.8036297640653357
2,3,LOW_O2,353,0.06406533575317605
2,3,NIV,629,0.11415607985480944
2,3,OTHER,29,0.005263157894736842
2,3,ROOM AIR,71,0.012885662431941924
2,4,IMV,4487,0.8143375680580762
2,4,LOW_O2,323,0.05862068965517241
2,4,NIV,607,0.11016333938294011
2,4,OTHER,32,0.005807622504537205
2,4,ROOM AIR,61,0.011070780399274047
2,5,IMV,4513,0.8190562613430127
2,5,LOW_O2,327,0.05934664246823956
2,5,NIV,582,0.10562613430127042
2,5,OTHER,31,0.005626134301270417
2,5,ROOM AIR,57,0.010344827586206896
2,6,IMV,4545,0.8248638838475499
2,6,LOW_O2,301,0.05462794918330308
2,6,NIV,583,0.10580762250453721
2,6,OTHER,31,0.005626134301270417
2,6,ROOM AIR,50,0.009074410163339383
2,7,IMV,4576,0.8304900181488203
2,7,LOW_O2,284,0.051542649727767696
2,7,NIV,571,0.10362976406533575
2,7,OTHER,31,0.005626134301270417
2,7,ROOM AIR,48,0.008711433756805808
2,8,IMV,4609,0.8364791288566243
2,8,LOW_O2,273,0.04954627949183303
2,8,NIV,558,0.10127041742286752
2,8,OTHER,32,0.005807622504537205
2,8,ROOM AIR,38,0.006896551724137931
2,9,IMV,4628,0.8399274047186933
2,9,LOW_O2,282,0.05117967332123412
2,9,NIV,534,0.0969147005444646
2,9,OTHER,33,0.005989110707803993
2,9,ROOM AIR,33,0.005989110707803993
2,10,IMV,4655,0.8448275862068966
2,10,LOW_O2,266,0.04827586206896552
2,10,NIV,525,0.09528130671506352
2,10,OTHER,32,0.005807622504537205
2,10,ROOM AIR,32,0.005807622504537205
2,11,IMV,4675,0.8484573502722323
2,11,LOW_O2,264,0.047912885662431945
2,11,NIV,508,0.09219600725952813
2,11,OTHER,36,0.006533575317604356
2,11,ROOM AIR,27,0.004900181488203267
2,12,IMV,4702,0.8533575317604356
2,12,LOW_O2,255,0.04627949183303085
2,12,NIV,493,0.08947368421052632
2,12,OTHER,36,0.006533575317604356
2,12,ROOM AIR,24,0.004355716878402904
2,13,IMV,4724,0.8573502722323049
2,13,LOW_O2,242,0.043920145190562615
2,13,NIV,485,0.08802177858439202
2,13,OTHER,34,0.006170598911070781
2,13,ROOM AIR,25,0.004537205081669692
2,14,IMV,4742,0.860617059891107
2,14,LOW_O2,246,0.044646098003629765
2,14,NIV,462,0.0838475499092559
2,14,OTHER,40,0.007259528130671506
2,14,ROOM AIR,20,0.003629764065335753
2,15,IMV,4739,0.8600725952813068
2,15,LOW_O2,245,0.04446460980036298
2,15,NIV,467,0.08475499092558984
2,15,OTHER,39,0.0070780399274047185
2,15,ROOM AIR,20,0.003629764065335753
2,16,IMV,4765,0.8647912885662432
2,16,LOW_O2,238,0.043194192377495465
2,16,NIV,456,0.08275862068965517
2,16,OTHER,35,0.006352087114337568
2,16,ROOM AIR,16,0.0029038112522686023
2,17,IMV,4767,0.8651542649727768
2,17,LOW_O2,237,0.04301270417422867
2,17,NIV,454,0.0823956442831216
2,17,OTHER,37,0.006715063520871143
2,17,ROOM AIR,15,0.0027223230490018148
2,18,IMV,4762,0.8642468239564428
2,18,LOW_O2,248,0.04500907441016334
2,18,NIV,451,0.08185117967332123
2,18,OTHER,35,0.006352087114337568
2,18,ROOM AIR,14,0.002540834845735027
2,19,IMV,4761,0.864065335753176
2,19,LOW_O2,241,0.04373865698729583
2,19,NIV,458,0.08312159709618874
2,19,OTHER,34,0.006170598911070781
2,19,ROOM AIR,16,0.0029038112522686023
2,20,IMV,4743,0.8607985480943738
2,20,LOW_O2,247,0.04482758620689655
2,20,NIV,471,0.08548094373865699
2,20,OTHER,35,0.006352087114337568
2,20,ROOM AIR,14,0.002540834845735027
2,21,IMV,4742,0.860617059891107
2,21,LOW_O2,241,0.04373865698729583
2,21,NIV,472,0.08566243194192377
2,21,OTHER,35,0.006352087114337568
2,21,ROOM AIR,20,0.003629764065335753
2,22,IMV,4726,0.8577132486388385
2,22,LOW_O2,250,0.045372050816696916
2,22,NIV,478,0.0867513611615245
2,22,OTHER,35,0.006352087114337568
2,22,ROOM AIR,21,0.003811252268602541
2,23,IMV,4711,0.8549909255898367
2,23,LOW_O2,272,0.049364791288566245
2,23,NIV,471,0.08548094373865699
2,23,OTHER,39,0.0070780399274047185
2,23,ROOM AIR,17,0.0030852994555353903
2,24,IMV,4697,0.8524500907441016
2,24,LOW_O2,275,0.0499092558983666
2,24,NIV,485,0.08802177858439202
2,24,OTHER,37,0.006715063520871143
2,24,ROOM AIR,16,0.0029038112522686023
2,25,IMV,4687,0.8506352087114337
2,25,LOW_O2,281,0.05099818511796733
2,25,NIV,484,0.08784029038112523
2,25,OTHER,37,0.006715063520871143
2,25,ROOM AIR,21,0.003811252268602541
2,26,IMV,4690,0.8511796733212341
2,26,LOW_O2,285,0.05172413793103448
2,26,NIV,479,0.08693284936479129
2,26,OTHER,34,0.006170598911070781
2,26,ROOM AIR,22,0.003992740471869328
2,27,IMV,4673,0.8480943738656987
2,27,LOW_O2,300,0.0544464609800363
2,27,NIV,473,0.08584392014519056
2,27,OTHER,37,0.006715063520871143
2,27,ROOM AIR,27,0.004900181488203267
2,28,IMV,4658,0.8453720508166969
2,28,LOW_O2,308,0.0558983666061706
2,28,NIV,464,0.08421052631578947
2,28,OTHER,42,0.007622504537205082
2,28,ROOM AIR,38,0.006896551724137931
2,29,IMV,4627,0.8397459165154265
2,29,LOW_O2,333,0.06043557168784029
2,29,NIV,463,0.08402903811252269
2,29,OTHER,40,0.007259528130671506
2,29,ROOM AIR,47,0.00852994555353902
2,30,IMV,4598,0.8344827586206897
2,30,LOW_O2,349,0.0633393829401089
2,30,NIV,465,0.08439201451905626
2,30,OTHER,44,0.007985480943738656
2,30,ROOM AIR,54,0.009800362976406534
2,31,IMV,4575,0.8303085299455535
2,31,LOW_O2,353,0.06406533575317605
2,31,NIV,472,0.08566243194192377
2,31,OTHER,44,0.007985480943738656
2,31,ROOM AIR,66,0.011978221415607986
2,32,IMV,4545,0.8248638838475499
2,32,LOW_O2,375,0.06805807622504537
2,32,NIV,470,0.0852994555353902
2,32,OTHER,42,0.007622504537205082
2,32,ROOM AIR,78,0.014156079854809437
2,33,IMV,4514,0.8192377495462795
2,33,LOW_O2,382,0.06932849364791288
2,33,NIV,486,0.0882032667876588
2,33,OTHER,38,0.006896551724137931
2,33,ROOM AIR,90,0.016333938294010888
2,34,IMV,4487,0.8143375680580762
2,34,LOW_O2,381,0.0691470054446461
2,34,NIV,495,0.08983666061705989
2,34,OTHER,40,0.007259528130671506
2,34,ROOM AIR,107,0.019419237749546278
2,35,IMV,4443,0.8063520871143376
2,35,LOW_O2,410,0.07441016333938294
2,35,NIV,499,0.09056261343012705
2,35,OTHER,43,0.00780399274047187
2,35,ROOM AIR,115,0.020871143375680582
2,36,IMV,4399,0.798366606170599
2,36,LOW_O2,432,0.07840290381125227
2,36,NIV,500,0.09074410163339383
2,36,OTHER,46,0.008348457350272231
2,36,ROOM AIR,133,0.02413793103448276
2,37,IMV,4357,0.7907441016333938
2,37,LOW_O2,461,0.08366606170598911
2,37,NIV,499,0.09056261343012705
2,37,OTHER,44,0.007985480943738656
2,37,ROOM AIR,149,0.027041742286751363
2,38,IMV,4321,0.7842105263157895
2,38,LOW_O2,457,0.08294010889292196
2,38,NIV,521,0.09455535390199638
2,38,OTHER,41,0.007441016333938294
2,38,ROOM AIR,170,0.030852994555353903
2,39,IMV,4281,0.7769509981851179
2,39,LOW_O2,480,0.08711433756805807
2,39,NIV,515,0.09346642468239565
2,39,OTHER,47,0.00852994555353902
2,39,ROOM AIR,187,0.03393829401088929
2,40,IMV,4242,0.7698729582577133
2,40,LOW_O2,500,0.09074410163339383
2,40,NIV,520,0.09437386569872959
2,40,OTHER,41,0.007441016333938294
2,40,ROOM AIR,207,0.03756805807622505
2,41,IMV,4194,0.7611615245009075
2,41,LOW_O2,509,0.09237749546279492
2,41,NIV,533,0.09673321234119782
2,41,OTHER,43,0.00780399274047187
2,41,ROOM AIR,231,0.04192377495462795
2,42,IMV,4153,0.7537205081669691
2,42,LOW_O2,527,0.09564428312159709
2,42,NIV,531,0.09637023593466425
2,42,OTHER,42,0.007622504537205082
2,42,ROOM AIR,257,0.04664246823956443
2,43,IMV,4093,0.7428312159709619
2,43,LOW_O2,542,0.0983666061705989
2,43,NIV,540,0.09800362976406533
2,43,OTHER,43,0.00780399274047187
2,43,ROOM AIR,292,0.052994555353902
2,44,IMV,4045,0.7341197822141561
2,44,LOW_O2,553,0.10036297640653358
2,44,NIV,556,0.10090744101633393
2,44,OTHER,45,0.008166969147005444
2,44,ROOM AIR,311,0.05644283121597096
2,45,IMV,4013,0.7283121597096188
2,45,LOW_O2,555,0.10072595281306715
2,45,NIV,552,0.10018148820326679
2,45,OTHER,42,0.007622504537205082
2,45,ROOM AIR,348,0.06315789473684211
2,46,IMV,3967,0.7199637023593466
2,46,LOW_O2,578,0.10490018148820326
2,46,NIV,559,0.1014519056261343
2,46,OTHER,42,0.007622504537205082
2,46,ROOM AIR,364,0.06606170598911071
2,47,IMV,3931,0.7134301270417422
2,47,LOW_O2,586,0.10635208711433757
2,47,NIV,558,0.10127041742286752
2,47,OTHER,41,0.007441016333938294
2,47,ROOM AIR,394,0.07150635208711434
2,48,IMV,3901,0.7079854809437387
2,48,LOW_O2,592,0.1074410163339383
2,48,NIV,555,0.10072595281306715
2,48,OTHER,42,0.007622504537205082
2,48,ROOM AIR,420,0.07622504537205081
2,49,IMV,3886,0.7052631578947368
2,49,LOW_O2,578,0.10490018148820326
2,49,NIV,558,0.10127041742286752
2,49,OTHER,42,0.007622504537205082
2,49,ROOM AIR,446,0.0809437386569873
2,50,IMV,3859,0.7003629764065336
2,50,LOW_O2,593,0.10762250453720508
2,50,NIV,556,0.10090744101633393
2,50,OTHER,40,0.007259528130671506
2,50,ROOM AIR,462,0.0838475499092559
2,51,IMV,3840,0.6969147005444646
2,51,LOW_O2,608,0.1103448275862069
2,51,NIV,541,0.09818511796733212
2,51,OTHER,40,0.007259528130671506
2,51,ROOM AIR,481,0.08729582577132486
2,52,IMV,3819,0.6931034482758621
2,52,LOW_O2,614,0.11143375680580762
2,52,NIV,538,0.09764065335753176
2,52,OTHER,39,0.0070780399274047185
2,52,ROOM AIR,500,0.09074410163339383
2,53,IMV,3798,0.68929219600725955
2,53,LOW_O2,612,0.11107078039927405
2,53,NIV,538,0.09764065335753176
2,53,OTHER,40,0.007259528130671506
2,53,ROOM AIR,522,0.09473684210526316
2,54,IMV,3786,0.6871143375680581
2,54,LOW_O2,614,0.11143375680580762
2,54,NIV,532,0.09655172413793103
2,54,OTHER,41,0.007441016333938294
2,54,ROOM AIR,537,0.09745916515426498
2,55,IMV,3779,0.6858439201451906
2,55,LOW_O2,621,0.11270417422867514
2,55,NIV,512,0.09292196007259527
