traj_cluster_ra,h,rs,n,prop
2,15,NIV,62,0.10598290598290598
2,15,OTHER,2,0.003418803418803419
2,15,ROOM AIR,15,0.02564102564102564
2,16,IMV,34,0.05811965811965812
2,16,LOW_O2,474,0.8102564102564103
2,16,NIV,59,0.10085470085470086
2,16,OTHER,2,0.003418803418803419
2,16,ROOM AIR,16,0.02735042735042735
2,17,IMV,31,0.05299145299145299
2,17,LOW_O2,478,0.8170940170940171
2,17,NIV,59,0.10085470085470086
2,17,OTHER,2,0.003418803418803419
2,17,ROOM AIR,15,0.02564102564102564
2,18,IMV,28,0.04786324786324787
2,18,LOW_O2,486,0.8307692307692308
2,18,NIV,53,0.0905982905982906
2,18,OTHER,2,0.003418803418803419
2,18,ROOM AIR,16,0.02735042735042735
2,19,IMV,26,0.044444444444444446
2,19,LOW_O2,493,0.8427350427350427
2,19,NIV,44,0.07521367521367521
2,19,OTHER,2,0.003418803418803419
2,19,ROOM AIR,20,0.03418803418803419
2,20,IMV,24,0.041025641025641026
2,20,LOW_O2,493,0.8427350427350427
2,20,NIV,41,0.07008547008547009
2,20,OTHER,3,0.005128205128205128
2,20,ROOM AIR,24,0.041025641025641026
2,21,IMV,22,0.037606837606837605
2,21,LOW_O2,495,0.8461538461538461
2,21,NIV,41,0.07008547008547009
2,21,OTHER,3,0.005128205128205128
2,21,ROOM AIR,24,0.041025641025641026
2,22,IMV,22,0.037606837606837605
2,22,LOW_O2,495,0.8461538461538461
2,22,NIV,41,0.07008547008547009
2,22,OTHER,3,0.005128205128205128
2,22,ROOM AIR,24,0.041025641025641026
2,23,IMV,23,0.039316239316239315
2,23,LOW_O2,501,0.8564102564102564
2,23,NIV,38,0.06495726495726496
2,23,OTHER,3,0.005128205128205128
2,23,ROOM AIR,20,0.03418803418803419
2,24,IMV,20,0.03418803418803419
2,24,LOW_O2,507,0.8666666666666667
2,24,NIV,35,0.05982905982905983
2,24,OTHER,3,0.005128205128205128
2,24,ROOM AIR,20,0.03418803418803419
2,25,IMV,21,0.035897435897435895
2,25,LOW_O2,510,0.8717948717948718
2,25,NIV,30,0.05128205128205128
2,25,OTHER,3,0.005128205128205128
2,25,ROOM AIR,21,0.035897435897435895
2,26,IMV,20,0.03418803418803419
2,26,LOW_O2,509,0.8700854700854701
2,26,NIV,32,0.0547008547008547
2,26,OTHER,3,0.005128205128205128
2,26,ROOM AIR,21,0.035897435897435895
2,27,IMV,19,0.03247863247863248
2,27,LOW_O2,509,0.8700854700854701
2,27,NIV,38,0.06495726495726496
2,27,OTHER,2,0.003418803418803419
2,27,ROOM AIR,17,0.02905982905982906
2,28,IMV,19,0.03247863247863248
2,28,LOW_O2,511,0.8735042735042735
2,28,NIV,35,0.05982905982905983
2,28,OTHER,2,0.003418803418803419
2,28,ROOM AIR,18,0.03076923076923077
2,29,IMV,19,0.03247863247863248
2,29,LOW_O2,508,0.8683760683760684
2,29,NIV,39,0.06666666666666667
2,29,OTHER,2,0.003418803418803419
2,29,ROOM AIR,17,0.02905982905982906
2,30,IMV,17,0.02905982905982906
2,30,LOW_O2,504,0.8615384615384616
2,30,NIV,40,0.06837606837606838
2,30,OTHER,3,0.005128205128205128
2,30,ROOM AIR,21,0.035897435897435895
2,31,IMV,16,0.02735042735042735
2,31,LOW_O2,508,0.8683760683760684
2,31,NIV,37,0.06324786324786325
2,31,OTHER,4,0.006837606837606838
2,31,ROOM AIR,20,0.03418803418803419
2,32,IMV,15,0.02564102564102564
2,32,LOW_O2,505,0.8632478632478633
2,32,NIV,39,0.06666666666666667
2,32,OTHER,5,0.008547008547008548
2,32,ROOM AIR,21,0.035897435897435895
2,33,IMV,16,0.02735042735042735
2,33,LOW_O2,510,0.8717948717948718
2,33,NIV,36,0.06153846153846154
2,33,OTHER,5,0.008547008547008548
2,33,ROOM AIR,18,0.03076923076923077
2,34,IMV,14,0.023931623931623933
2,34,LOW_O2,513,0.8769230769230769
2,34,NIV,35,0.05982905982905983
2,34,OTHER,5,0.008547008547008548
2,34,ROOM AIR,18,0.03076923076923077
2,35,IMV,13,0.022222222222222223
2,35,LOW_O2,511,0.8735042735042735
2,35,NIV,36,0.06153846153846154
2,35,OTHER,4,0.006837606837606838
2,35,ROOM AIR,21,0.035897435897435895
2,36,IMV,13,0.022222222222222223
2,36,LOW_O2,508,0.8683760683760684
2,36,NIV,38,0.06495726495726496
2,36,OTHER,4,0.006837606837606838
2,36,ROOM AIR,22,0.037606837606837605
2,37,IMV,11,0.018803418803418803
2,37,LOW_O2,513,0.8769230769230769
2,37,NIV,37,0.06324786324786325
2,37,OTHER,3,0.005128205128205128
2,37,ROOM AIR,21,0.035897435897435895
2,38,IMV,10,0.017094017094017096
2,38,LOW_O2,515,0.8803418803418803
2,38,NIV,36,0.06153846153846154
2,38,OTHER,2,0.003418803418803419
2,38,ROOM AIR,22,0.037606837606837605
2,39,IMV,9,0.015384615384615385
2,39,LOW_O2,516,0.882051282051282
2,39,NIV,33,0.05641025641025641
2,39,OTHER,2,0.003418803418803419
2,39,ROOM AIR,25,0.042735042735042736
2,40,IMV,6,0.010256410256410256
2,40,LOW_O2,521,0.8905982905982905
2,40,NIV,35,0.05982905982905983
2,40,OTHER,2,0.003418803418803419
2,40,ROOM AIR,21,0.035897435897435895
2,41,IMV,5,0.008547008547008548
2,41,LOW_O2,521,0.8905982905982905
2,41,NIV,33,0.05641025641025641
2,41,OTHER,2,0.003418803418803419
2,41,ROOM AIR,24,0.041025641025641026
2,42,IMV,5,0.008547008547008548
2,42,LOW_O2,517,0.8837606837606837
2,42,NIV,30,0.05128205128205128
2,42,OTHER,2,0.003418803418803419
2,42,ROOM AIR,31,0.05299145299145299
2,43,IMV,5,0.008547008547008548
2,43,LOW_O2,511,0.8735042735042735
2,43,NIV,33,0.05641025641025641
2,43,OTHER,2,0.003418803418803419
2,43,ROOM AIR,34,0.05811965811965812
2,44,IMV,5,0.008547008547008548
2,44,LOW_O2,515,0.8803418803418803
2,44,NIV,31,0.05299145299145299
2,44,OTHER,3,0.005128205128205128
2,44,ROOM AIR,31,0.05299145299145299
2,45,IMV,4,0.006837606837606838
2,45,LOW_O2,515,0.8803418803418803
2,45,NIV,30,0.05128205128205128
2,45,OTHER,3,0.005128205128205128
2,45,ROOM AIR,33,0.05641025641025641
2,46,IMV,6,0.010256410256410256
2,46,LOW_O2,518,0.8854700854700854
2,46,NIV,30,0.05128205128205128
2,46,OTHER,2,0.003418803418803419
2,46,ROOM AIR,29,0.04957264957264957
2,47,IMV,7,0.011965811965811967
2,47,LOW_O2,520,0.8888888888888888
2,47,NIV,32,0.0547008547008547
2,47,OTHER,2,0.003418803418803419
2,47,ROOM AIR,24,0.041025641025641026
2,48,IMV,7,0.011965811965811967
2,48,LOW_O2,516,0.882051282051282
2,48,NIV,32,0.0547008547008547
2,48,OTHER,2,0.003418803418803419
2,48,ROOM AIR,28,0.04786324786324787
2,49,IMV,7,0.011965811965811967
2,49,LOW_O2,521,0.8905982905982905
2,49,NIV,30,0.05128205128205128
2,49,OTHER,1,0.0017094017094017094
2,49,ROOM AIR,26,0.044444444444444446
2,50,IMV,7,0.011965811965811967
2,50,LOW_O2,519,0.8871794871794871
