pooled_cluster,pooled_cluster_label,h,arf,n,prop
1,Cluster 1: Minimal ARF,45,Hypoxemic ARF,8,0.0018819101387908728
1,Cluster 1: Minimal ARF,45,No ARF,4241,0.9976476123265114
1,Cluster 1: Minimal ARF,46,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,46,Hypoxemic ARF,10,0.002352387673488591
1,Cluster 1: Minimal ARF,46,No ARF,4239,0.9971771347918137
1,Cluster 1: Minimal ARF,47,Hypercapnic ARF,4,9.409550693954364e-4
1,Cluster 1: Minimal ARF,47,Hypoxemic ARF,11,0.00258762644083745
1,Cluster 1: Minimal ARF,47,No ARF,4236,0.9964714184897672
1,Cluster 1: Minimal ARF,48,Hypercapnic ARF,3,7.057163020465773e-4
1,Cluster 1: Minimal ARF,48,Hypoxemic ARF,11,0.00258762644083745
1,Cluster 1: Minimal ARF,48,No ARF,4237,0.9967066572571159
1,Cluster 1: Minimal ARF,49,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,49,Hypoxemic ARF,11,0.00258762644083745
1,Cluster 1: Minimal ARF,49,No ARF,4238,0.9969418960244648
1,Cluster 1: Minimal ARF,50,Hypercapnic ARF,3,7.057163020465773e-4
1,Cluster 1: Minimal ARF,50,Hypoxemic ARF,9,0.002117148906139732
1,Cluster 1: Minimal ARF,50,No ARF,4239,0.9971771347918137
1,Cluster 1: Minimal ARF,51,Hypercapnic ARF,4,9.409550693954364e-4
1,Cluster 1: Minimal ARF,51,Hypoxemic ARF,10,0.002352387673488591
1,Cluster 1: Minimal ARF,51,No ARF,4237,0.9967066572571159
1,Cluster 1: Minimal ARF,52,Hypercapnic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,52,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,52,No ARF,4238,0.9978808570755827
1,Cluster 1: Minimal ARF,53,Hypercapnic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,53,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,53,No ARF,4240,0.9983517777254532
1,Cluster 1: Minimal ARF,54,Hypercapnic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,54,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,54,No ARF,4241,0.9985872380503885
1,Cluster 1: Minimal ARF,55,Hypercapnic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,55,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,55,No ARF,4241,0.9985872380503885
1,Cluster 1: Minimal ARF,56,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,56,Hypoxemic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,56,No ARF,4243,0.999058158700259
1,Cluster 1: Minimal ARF,57,Hypercapnic ARF,1,2.354603249352484e-4
1,Cluster 1: Minimal ARF,57,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,57,No ARF,4243,0.999058158700259
1,Cluster 1: Minimal ARF,58,Hypercapnic ARF,1,2.354603249352484e-4
1,Cluster 1: Minimal ARF,58,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,58,No ARF,4243,0.999058158700259
1,Cluster 1: Minimal ARF,59,Hypercapnic ARF,1,2.354603249352484e-4
1,Cluster 1: Minimal ARF,59,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,59,No ARF,4243,0.999058158700259
1,Cluster 1: Minimal ARF,60,Hypercapnic ARF,1,2.354603249352484e-4
1,Cluster 1: Minimal ARF,60,Hypoxemic ARF,6,0.0014127619496114904
1,Cluster 1: Minimal ARF,60,No ARF,4240,0.9983517777254532
1,Cluster 1: Minimal ARF,61,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,61,Hypoxemic ARF,6,0.0014127619496114904
1,Cluster 1: Minimal ARF,61,No ARF,4239,0.998116317400518
1,Cluster 1: Minimal ARF,62,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,62,Hypoxemic ARF,6,0.0014127619496114904
1,Cluster 1: Minimal ARF,62,No ARF,4239,0.998116317400518
1,Cluster 1: Minimal ARF,63,Hypercapnic ARF,2,4.709206498704968e-4
