county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
42107,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
42111,Hopkins,2,1,1,1,-0,NA,NA,NA,NA
42119,Hopkins,32,3,1,1,-0,32,1,3,-0
42127,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42129,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
42133,Hopkins,97,4,0.6288659793814433,5,1.147860258248911,97,0.6288659793814433,4,1.147860258248911
44007,Hopkins,2,3,1,1,-0,NA,NA,NA,NA
45013,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
45017,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
45027,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
45035,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
45041,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
45045,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
45051,Hopkins,33,3,0.48484848484848486,3,0.8079366792945711,33,0.48484848484848486,3,0.8079366792945711
45059,Hopkins,16,1,1,1,-0,16,1,1,-0
45063,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
45079,Hopkins,3,3,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
47037,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
47059,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
47115,Hopkins,16,1,1,1,-0,16,1,1,-0
47179,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
48000,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
48029,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
48113,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
48121,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
48157,Hopkins,16,2,1,1,-0,16,1,2,-0
48181,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
48201,Hopkins,17,2,0.9411764705882353,2,0.22371807606583377,17,0.9411764705882353,2,0.22371807606583377
48215,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
