site_run,site_name,local_cluster,prototype_idx,distance,pooled_cluster,pooled_severity_rank,arf_label,dominant_rs,pooled_cluster_label,phenotype_label,phenotype_label_short,is_worst_cluster,severity_score,local_severity_rank,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
run_Penn_20260406,Penn,4,4,0.04304836716837584,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,1,4509,0.12419605233976493,0.180527833222444,3.967398536260811,43.68333333333333
run_Penn_20260406,Penn,1,5,0.05464127993317061,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,2,6980,0.20687679083094557,0.12249283667621776,4.456017191977077,71.39166666666668
run_Penn_20260406,Penn,5,2,0.16874222669724226,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,3,2294,0.43940714908456846,0.05666957279860506,4.918482999128161,139.46666666666667
run_Penn_20260406,Penn,3,1,0.07800881933822788,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,5,4035,0.5048327137546469,0.9992565055762082,10.16728624535316,168.16666666666666
run_Penn_20260406,Penn,2,3,0.04488903572445996,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,4,5510,0.40381125226860254,0.97005444646098,11.030671506352087,210.44166666666663
run_RUSH_20260402,RUSH,1,4,0.032619188431789764,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,2,1275,0.06274509803921569,0.2015686274509804,3.9098039215686273,51.416666666666664
run_RUSH_20260402,RUSH,3,5,0.4943150946527117,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,1,1240,0.10241935483870968,0.04112903225806452,3.5314516129032256,71.125
run_RUSH_20260402,RUSH,5,2,0.6554259433725877,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,3,322,0.16770186335403728,0.12111801242236024,4.503105590062112,166.00833333333333
run_RUSH_20260402,RUSH,2,1,0.13180396497087446,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,5,686,0.3469387755102041,1,10.142857142857142,226.35
run_RUSH_20260402,RUSH,4,3,1.1404831826748265,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,4,194,0.08247422680412371,1,8.639175257731958,114.70833333333334
run_UCMC_20260402,UCMC,5,4,0.24424690629849594,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,1,707,0.10325318246110324,0.38472418670438474,4.9943422913719955,36.88333333333333
run_UCMC_20260402,UCMC,1,5,1.1397481159893832,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,2,1164,0.16065292096219932,0.33075601374570446,5.18470790378007,44.49166666666667
run_UCMC_20260402,UCMC,2,2,0.771693404086929,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,3,1288,0.31288819875776397,0.2748447204968944,5.655279503105591,98.24166666666667
run_UCMC_20260402,UCMC,4,1,0.10770213941427056,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,4,3247,0.443178318447798,0.99722821065599,10.369263935940872,145.13333333333333
run_UCMC_20260402,UCMC,3,3,0.6609064820304708,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,5,783,0.5363984674329502,1,12.922094508301404,232.81666666666663
run_UCSF_20260402,UCSF,4,4,0.09221437492220826,1,1,NO_ARF,ROOM_AIR,Cluster 1: Room air / No ARF,Room air / No ARF,Room air / No ARF,FALSE,-1.9089361303410373,1,465,0.13118279569892474,0.28817204301075267,5.04516129032258,43.7
run_UCSF_20260402,UCSF,3,5,0.4055617355767039,2,2,NO_ARF,LOW_O2,Cluster 2: Low-flow oxygen / No ARF,Low-flow oxygen / No ARF,Low-flow O2 / No ARF,FALSE,-1.6667732352510458,2,637,0.22762951334379905,0.25588697017268447,5.938775510204081,64.21666666666667
run_UCSF_20260402,UCSF,2,2,0.3174775109481504,3,3,NO_ARF,NIV,Cluster 3: Noninvasive ventilation / No ARF,Noninvasive ventilation / No ARF,NIV / No ARF,FALSE,-0.47939321591053885,3,342,0.4239766081871345,0.13742690058479531,5.818713450292398,100.74166666666667
run_UCSF_20260402,UCSF,1,1,0.1368943484940118,4,4,NO_ARF_PREDOM,IMV,Cluster 4: Invasive ventilation / Predominantly no ARF,Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF,FALSE,1.5642373140947232,4,580,0.3810344827586207,1,9.78448275862069,150.78333333333333
run_UCSF_20260402,UCSF,5,3,0.4950437310627976,5,5,HYPOX_MIXED_ARF,IMV,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF,TRUE,2.490865267407899,5,323,0.48297213622291024,0.9907120743034056,12.393188854489164,250.2
