county_fips,county_total,dominant_cluster,dominant_cluster_prop,worst_cluster_prop,mean_severity_rank,pooled_cluster_label,dominant_cluster_phenotype
37139,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
37145,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
37147,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
37155,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
37165,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
37179,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
37183,3,2,0.3333333333333333,0.3333333333333333,3.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
37195,2,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
38003,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
38013,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
38015,10,1,0.3,0.2,2.9,Cluster 1: Room air / No ARF,Room air / No ARF
38017,13,5,0.6153846153846154,0.6153846153846154,3.769230769230769,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
38019,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
38025,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
38035,4,4,0.5,0.25,3.75,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
38045,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
38049,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
38053,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
38055,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
38059,8,2,0.625,0.25,3,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
38071,4,1,0.5,0.25,2.75,Cluster 1: Room air / No ARF,Room air / No ARF
38073,2,2,0.5,0.5,3.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
38077,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
38079,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
38085,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
38089,3,5,0.6666666666666666,0.6666666666666666,4.666666666666667,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
38093,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
38095,3,1,0.3333333333333333,0.3333333333333333,2.3333333333333335,Cluster 1: Room air / No ARF,Room air / No ARF
38101,11,1,0.5454545454545454,0.09090909090909091,2.272727272727273,Cluster 1: Room air / No ARF,Room air / No ARF
38103,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
38105,4,5,0.5,0.5,4,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
39000,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
39007,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
39029,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
39035,4,2,0.75,0.75,1.75,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39039,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
39041,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
39043,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39045,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
39049,5,3,0.6,0.4,3.8,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
39055,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
39059,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
39061,6,2,0.5,0.16666666666666666,2.3333333333333335,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39079,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
39085,2,1,0.5,0.5,2,Cluster 1: Room air / No ARF,Room air / No ARF
39089,2,1,0.5,0.5,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
39093,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
39095,3,1,0.3333333333333333,0.3333333333333333,2.3333333333333335,Cluster 1: Room air / No ARF,Room air / No ARF
39099,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39101,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
39113,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
39133,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
39145,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
39147,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39153,3,2,0.3333333333333333,0.3333333333333333,3.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39155,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
39157,2,3,0.5,0.5,3.5,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
39165,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
39173,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
40027,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
40031,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
40109,2,2,0.5,0.5,2.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41001,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
41003,25,1,0.44,0.08,2.44,Cluster 1: Room air / No ARF,Room air / No ARF
41005,277,1,0.38267148014440433,0.08303249097472924,2.4476534296028882,Cluster 1: Room air / No ARF,Room air / No ARF
41007,91,4,0.31868131868131866,0.0989010989010989,2.7142857142857144,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41009,68,1,0.36764705882352944,0.1323529411764706,2.485294117647059,Cluster 1: Room air / No ARF,Room air / No ARF
41011,121,1,0.36363636363636365,0.1322314049586777,2.5454545454545454,Cluster 1: Room air / No ARF,Room air / No ARF
41013,9,1,0.3333333333333333,0.1111111111111111,2.6666666666666665,Cluster 1: Room air / No ARF,Room air / No ARF
41015,20,2,0.25,0.15,2.85,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41017,32,1,0.4375,0.21875,2.71875,Cluster 1: Room air / No ARF,Room air / No ARF
41019,65,4,0.38461538461538464,0.13846153846153847,2.9384615384615387,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41021,3,1,0.3333333333333333,0.3333333333333333,2.6666666666666665,Cluster 1: Room air / No ARF,Room air / No ARF
41023,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41025,2,1,0.5,0.5,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
41027,13,1,0.6923076923076923,0.07692307692307693,1.6923076923076923,Cluster 1: Room air / No ARF,Room air / No ARF
41029,43,4,0.4418604651162791,0.11627906976744186,3,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41031,8,1,0.375,0.125,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
41033,38,4,0.3157894736842105,0.07894736842105263,2.736842105263158,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41035,34,1,0.4117647058823529,0.20588235294117646,2.588235294117647,Cluster 1: Room air / No ARF,Room air / No ARF
41037,3,4,0.6666666666666666,0.6666666666666666,3.3333333333333335,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41039,66,2,0.3333333333333333,0.10606060606060606,2.621212121212121,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41041,47,4,0.3191489361702128,0.14893617021276595,2.872340425531915,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41043,68,1,0.3382352941176471,0.11764705882352941,2.7058823529411766,Cluster 1: Room air / No ARF,Room air / No ARF
41045,2,2,0.5,0.5,2.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41047,157,4,0.3503184713375796,0.1464968152866242,2.9235668789808917,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41049,7,5,0.42857142857142855,0.42857142857142855,3.142857142857143,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
41051,1018,1,0.4243614931237721,0.09135559921414538,2.343811394891945,Cluster 1: Room air / No ARF,Room air / No ARF
41053,27,2,0.3333333333333333,0.14814814814814814,2.5555555555555554,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41055,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41057,35,2,0.2857142857142857,0.17142857142857143,2.857142857142857,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
41059,45,4,0.4888888888888889,0.06666666666666667,3.1333333333333333,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41061,8,1,0.5,0.125,2.625,Cluster 1: Room air / No ARF,Room air / No ARF
41063,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
41065,41,1,0.43902439024390244,0.07317073170731707,2.1219512195121952,Cluster 1: Room air / No ARF,Room air / No ARF
41067,774,1,0.3669250645994832,0.0917312661498708,2.409560723514212,Cluster 1: Room air / No ARF,Room air / No ARF
41071,84,1,0.40476190476190477,0.09523809523809523,2.4761904761904763,Cluster 1: Room air / No ARF,Room air / No ARF
42000,60,1,0.6,0.3,2.4,Cluster 1: Room air / No ARF,Room air / No ARF
42001,44,4,0.5909090909090909,0.2727272727272727,3.9318181818181817,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42003,8,1,0.25,0.25,3,Cluster 1: Room air / No ARF,Room air / No ARF
42007,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42009,3,2,0.6666666666666666,0.3333333333333333,2.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42011,139,1,0.28776978417266186,0.23741007194244604,2.7985611510791366,Cluster 1: Room air / No ARF,Room air / No ARF
42013,3,1,0.6666666666666666,0.3333333333333333,1.6666666666666667,Cluster 1: Room air / No ARF,Room air / No ARF
42015,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42017,629,5,0.3195548489666137,0.3195548489666137,3.273449920508744,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42019,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42021,2,1,0.5,0.5,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
42025,12,1,0.25,0.25,3,Cluster 1: Room air / No ARF,Room air / No ARF
42027,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42029,2857,2,0.3713685684284214,0.13580679033951698,2.6293314665733285,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42031,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
42033,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42035,4,5,0.75,0.75,4.75,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42037,9,5,0.5555555555555556,0.5555555555555556,3.5555555555555554,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42041,35,5,0.37142857142857144,0.37142857142857144,3.3714285714285714,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42043,27,5,0.4444444444444444,0.4444444444444444,3.3333333333333335,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42045,1412,2,0.27407932011331443,0.254957507082153,3.0956090651558075,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42055,44,4,0.45454545454545453,0.22727272727272727,3.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42057,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42061,3,5,0.6666666666666666,0.6666666666666666,3.6666666666666665,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42063,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
42065,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42067,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42069,71,5,0.36619718309859156,0.36619718309859156,3.591549295774648,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42071,188,5,0.3617021276595745,0.3617021276595745,3.2872340425531914,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42073,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
42075,15,5,0.6666666666666666,0.6666666666666666,4.266666666666667,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42077,66,2,0.4393939393939394,0.3181818181818182,3.212121212121212,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42079,86,5,0.4186046511627907,0.4186046511627907,3.5232558139534884,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42081,6,3,0.5,0.16666666666666666,2.6666666666666665,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
42085,3,1,0.3333333333333333,0.3333333333333333,3,Cluster 1: Room air / No ARF,Room air / No ARF
42089,25,5,0.6,0.6,3.88,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42091,923,5,0.27843986998916576,0.27843986998916576,3.1484290357529794,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42093,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
42095,56,5,0.44642857142857145,0.44642857142857145,3.625,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42097,8,5,0.625,0.625,4.375,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42099,2,2,0.5,0.5,3.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42101,9998,2,0.2965593118623725,0.22964592918583718,2.879475895179036,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42103,8,5,0.5,0.5,4.125,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42105,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42107,31,5,0.3225806451612903,0.3225806451612903,3.161290322580645,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
