site_name,stratum,pooled_cluster_label,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75,pooled_cluster
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_liver,,continuous,14444,0.17058986430351702,0.5421809281558386,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_renal,,continuous,14444,0.6917058986430348,1.0568604365386576,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_resp,,continuous,14444,2.429936305732484,1.2144008711985075,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sofa_total,,continuous,14444,5.0798255330933255,3.057492911949606,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,vaso_hours_72h,,continuous,14444,2.9649681528662435,9.166489464703004,,,,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,vaso_mean_72h,,continuous,14444,0.1847133757961786,0.3880783057620671,,,,3
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,age_years,,continuous,31786,59.49356147999119,17.684732668241505,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,charlson_score,,continuous,31786,3.3766752658403067,2.950331150001686,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,deescalations_icu,,continuous,31786,2.858082174542252,6.342504661622845,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,escalations_icu,,continuous,31786,2.0503995469703615,6.209319417633086,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,icu_los_hours,,continuous,31786,259.4514547372358,337.86365528260353,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,imv_hours_72h,,continuous,31786,23.357515887497637,17.212518527748838,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,imv_hours_icu,,continuous,31786,67.4490027055937,110.0547500329983,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,no2_1y,,continuous,30924,6.8379735371005825,2.763675637217958,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,no2_3y,,continuous,30924,7.189728404064699,2.872649951721673,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,no2_5y,,continuous,30924,7.565411822168713,3.001633363185151,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,pm25_1y,,continuous,30924,8.264372489489677,1.5216485695183959,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,pm25_3y,,continuous,30924,7.901686537000119,1.0731885530746665,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,pm25_5y,,continuous,30924,7.79887641723866,0.902714483342956,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_cns,,continuous,31786,3.215189076952117,1.0587003931111394,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_coag,,continuous,31786,0.6513559428679294,0.9976585228427604,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_cv,,continuous,31786,2.3118039388409963,1.6457620355767442,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_liver,,continuous,31786,0.383942616246146,0.8069691003230927,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_renal,,continuous,31786,1.0581073428553471,1.2492398284781205,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_resp,,continuous,31786,2.7574089221669906,1.245894692575405,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sofa_total,,continuous,31786,10.377807839929524,3.7752741417096707,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,vaso_hours_72h,,continuous,31786,13.831152079531867,17.85073375836844,,,,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,vaso_mean_72h,,continuous,31786,0.6440571320707225,0.4788055504522471,,,,4
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,age_years,,continuous,21954,57.602092295800276,16.352125508846754,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,charlson_score,,continuous,21954,3.267787191400199,2.7811394961575258,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,deescalations_icu,,continuous,21954,4.2295709210166725,7.171998986979384,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,escalations_icu,,continuous,21954,3.3415322947982125,7.069757356967344,,,,5
