site_run,site_name,exposure,pooled_cluster,pooled_cluster_label,model,term,estimate,std_error,effect,conf_low,conf_high,is_reference
run_Minnesota_20260407,Minnesota,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.09119751290282709,0.07753093175982942,1.0954853563844398,0.94104613464424,1.2752702783338299,FALSE
run_Minnesota_20260407,Minnesota,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.18393187175248701,0.060075015947467794,1.20193393465428,1.06842418697129,1.3521269930894397,FALSE
run_Minnesota_20260407,Minnesota,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,0.24524599626075602,0.07423683997811643,1.2779356419308598,1.10488558862546,1.47808924447003,FALSE
run_Minnesota_20260407,Minnesota,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.183162866531708,0.0735687131388768,1.2010099964856698,1.0397374078081398,1.38729740877485,FALSE
run_Minnesota_20260407,Minnesota,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.0922716132150384,0.07759593319621172,1.09666264970012,0.941937442497266,1.27680344042677,FALSE
run_Minnesota_20260407,Minnesota,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.10225987001133201,0.059272563962956604,1.1076712848786598,0.9861820018525458,1.24412702020514,FALSE
run_Minnesota_20260407,Minnesota,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,0.134976018339193,0.07427558816381402,1.14450933678749,0.9894518911626669,1.32386590363128,FALSE
run_NU_20260402,NU,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.09903971780641618,0.0549786878720256,1.1041101515212803,0.9913193855770498,1.22973407403179,FALSE
run_NU_20260402,NU,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.05956039061867801,0.05094856992019091,1.0613698558263898,0.9605023919828367,1.17282994843085,FALSE
run_NU_20260402,NU,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.051251255391536,0.0540207844519987,1.0525873283027503,0.9468359025867591,1.1701500552277602,FALSE
run_NU_20260402,NU,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,0.06083764013126121,0.0684516932417026,1.0627263560676397,0.929296269608052,1.2153145824604998,FALSE
run_NU_20260402,NU,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.100173315121262,0.053813907519376224,1.10536247750692,0.994712086879091,1.22832146386571,FALSE
run_NU_20260402,NU,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.0224045389999739,0.05090994810724691,1.0226574056060402,0.9255390455199319,1.1299665576543696,FALSE
run_NU_20260402,NU,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.0015497112170656296,0.05367225133602551,1.00155091264003,0.901542673455869,1.1126530780455501,FALSE
run_NU_20260402,NU,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,-0.0025997553571347194,0.06748140949075429,0.9974036210802198,0.8738353411238301,1.1384455818238204,FALSE
run_OHSU_20260407,OHSU,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.34011966412117695,0.177331023098917,1.40511572244179,0.992578534935589,1.9891123210530102,FALSE
run_OHSU_20260407,OHSU,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.17422011377704802,0.122787986408761,1.1903175422771102,0.935714996692754,1.51419594263257,FALSE
run_OHSU_20260407,OHSU,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.30408989674061104,0.14789602983842104,1.3553908958368799,1.01431517288264,1.8111574485242001,FALSE
run_OHSU_20260407,OHSU,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,0.09376583254367912,0.142077533263378,1.0983025290929402,0.831348554153257,1.4509779795558102,FALSE
run_OHSU_20260407,OHSU,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,-0.15337719179139506,0.17542757267293702,0.857806103361323,0.608222059515124,1.2098070095493498,FALSE
run_OHSU_20260407,OHSU,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.14393176613220604,0.11973526895798402,1.1548053090037602,0.913246577402313,1.46025765078318,FALSE
run_OHSU_20260407,OHSU,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.015171961792926701,0.14879581358088603,1.01528764028808,0.7584580161905511,1.3590851049331603,FALSE
run_OHSU_20260407,OHSU,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,0.11028548459939498,0.133663855313091,1.1165967961500998,0.8592497348680832,1.45101983111358,FALSE
run_Penn_20260406,Penn,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.045015134853513196,0.042953487882854594,1.04604369150695,0.9615836662129508,1.1379222037442198,FALSE
run_Penn_20260406,Penn,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.06327727848014952,0.0483748823207384,1.06532218919981,0.968954628822197,1.17127400297473,FALSE
run_Penn_20260406,Penn,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.163366705704212,0.0586554954042437,1.17746839490619,1.0495924381884498,1.3209239801649697,FALSE
run_Penn_20260406,Penn,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,-0.025817095382054806,0.0574158408410173,0.97451331629481,0.8707919940681833,1.09058903860518,FALSE
run_Penn_20260406,Penn,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.06458242683276767,0.0435837014398822,1.0667135004363402,0.979374057726578,1.16184177336134,FALSE
run_Penn_20260406,Penn,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.03783109423359151,0.04856277597322439,1.0385557999997501,0.944261681120497,1.14226614430992,FALSE
run_Penn_20260406,Penn,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.06752885053155461,0.058684797706521505,1.0698611252148098,0.953616811828038,1.20027542829467,FALSE
run_Penn_20260406,Penn,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,-0.036868964471376796,0.056812827188326524,0.963802419434541,0.8622395852940921,1.0773282966253996,FALSE
run_RUSH_20260402,RUSH,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.0542410481607943,0.140644372253205,1.0557390554436896,0.801378490171409,1.3908346266578,FALSE
run_RUSH_20260402,RUSH,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.09568100630598911,0.15344951227754502,1.1004079847929402,0.8145821164759119,1.4865262918301196,FALSE
run_RUSH_20260402,RUSH,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.130379899287245,0.2781046177556801,1.1392611056059798,0.6605350097434378,1.9649463655994397,FALSE
run_RUSH_20260402,RUSH,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,6.43753428456534e-5,0.20973996231048703,1.0000643774149796,0.6629697267921769,1.5085587147600301,FALSE
run_RUSH_20260402,RUSH,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.141732070009353,0.15623237052132408,1.15226788005236,0.8483318593157301,1.5650965513322899,FALSE
run_RUSH_20260402,RUSH,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.26423182558743197,0.17334894395502604,1.3024300979278198,0.927249961100025,1.8294141074709498,FALSE
run_RUSH_20260402,RUSH,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.07758225562885711,0.29594229698093405,1.08067112008533,0.605037616740389,1.9302106802519299,FALSE
run_RUSH_20260402,RUSH,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,0.166805271358072,0.22767753235327798,1.1815241663093399,0.756205063132083,1.8460592551324397,FALSE
run_UCMC_20260402,UCMC,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,0.0629336677055761,0.10705332678728502,1.06495619590043,0.863388208681333,1.3135825666636003,FALSE
run_UCMC_20260402,UCMC,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,0.30144188407629097,0.11116652887071102,1.35180655136882,1.0871455365960803,1.68089817858728,FALSE
run_UCMC_20260402,UCMC,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.27189974178626103,0.09110430740096549,1.31245541027963,1.0978297750964496,1.56904034035782,FALSE
run_UCMC_20260402,UCMC,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,9.607806402997567e-4,0.150829218252807,1.0009612423378695,0.744781429301984,1.34525831236365,FALSE
run_UCMC_20260402,UCMC,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,0.308715170862776,0.10377711935476198,1.36167447069879,1.1110572249396202,1.6688225615504102,FALSE
run_UCMC_20260402,UCMC,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,0.40789527904452905,0.10478183812576498,1.5036496892927997,1.22448809658063,1.8464551794533803,FALSE
run_UCMC_20260402,UCMC,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.37239368445765203,0.08725023486338732,1.4512041853813598,1.2230934009214698,1.7218583520127997,FALSE
run_UCMC_20260402,UCMC,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,0.13744976458020805,0.149225475513554,1.1473440672134698,0.85638762925454,1.5371525271982602,FALSE
run_UCSF_20260402,UCSF,PM2.5,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra2,-0.012371681522634998,0.14782029722565299,0.9877045331044141,0.7392645309625179,1.3196362112014697,FALSE
run_UCSF_20260402,UCSF,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra3,-0.07464675180020233,0.13629029654536207,0.928071267935695,0.710507530214379,1.2122549610528202,FALSE
run_UCSF_20260402,UCSF,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra4,0.253852438346977,0.183039857178266,1.28898158598014,0.900409443649235,1.84524222920426,FALSE
run_UCSF_20260402,UCSF,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,pm25_5y_z:traj_cluster_ra5,-0.338918498958295,0.15125836954670305,0.7125405195173569,0.5297315536653892,0.9584363786544761,FALSE
run_UCSF_20260402,UCSF,NO2,3,Cluster 3: Noninvasive ventilation / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra2,-0.35049525307635493,0.15022241681225704,0.7043391771815449,0.5246986453633441,0.9454830518368129,FALSE
run_UCSF_20260402,UCSF,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra3,-0.13837870503880897,0.13506017212142604,0.87076886473945,0.6682475151613029,1.1346670187267502,FALSE
run_UCSF_20260402,UCSF,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra4,0.10725127300054903,0.17476894147614305,1.1132139399460903,0.7903369920256978,1.5679960429462099,FALSE
run_UCSF_20260402,UCSF,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,no2_5y_z:traj_cluster_ra5,-0.38809293330958505,0.15444299062290606,0.678349299089279,0.5011743698034639,0.9181590266784132,FALSE
run_Emory_20260406,Emory,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_Emory_20260406,Emory,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_Michigan_20260407,Michigan,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_Michigan_20260407,Michigan,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_Minnesota_20260407,Minnesota,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_Minnesota_20260407,Minnesota,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_NU_20260402,NU,NO2,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_NU_20260402,NU,PM2.5,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_OHSU_20260407,OHSU,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_OHSU_20260407,OHSU,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_Penn_20260406,Penn,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_Penn_20260406,Penn,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_RUSH_20260402,RUSH,NO2,1,Cluster 1: Room air / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_RUSH_20260402,RUSH,PM2.5,1,Cluster 1: Room air / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_UCMC_20260402,UCMC,NO2,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_UCMC_20260402,UCMC,PM2.5,2,Cluster 2: Low-flow oxygen / No ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
run_UCSF_20260402,UCSF,NO2,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_no2,reference,0,,1,,,TRUE
run_UCSF_20260402,UCSF,PM2.5,4,Cluster 4: Invasive ventilation / Predominantly no ARF,glm_interaction_pm25,reference,0,,1,,,TRUE
