traj_cluster_ra,h,arf,n,prop
1,51,NO_ARF,528,0.9103448275862069
1,52,ARF_HYPOX,47,0.08103448275862069
1,52,ARF_MIXED,3,0.005172413793103448
1,52,NO_ARF,530,0.9137931034482759
1,53,ARF_HYPOX,50,0.08620689655172414
1,53,ARF_MIXED,3,0.005172413793103448
1,53,NO_ARF,527,0.9086206896551724
1,54,ARF_HYPOX,52,0.0896551724137931
1,54,ARF_MIXED,2,0.0034482758620689655
1,54,NO_ARF,526,0.906896551724138
1,55,ARF_HYPOX,50,0.08620689655172414
1,55,ARF_MIXED,1,0.0017241379310344827
1,55,NO_ARF,529,0.9120689655172414
1,56,ARF_HYPER,2,0.0034482758620689655
1,56,ARF_HYPOX,51,0.08793103448275862
1,56,ARF_MIXED,1,0.0017241379310344827
1,56,NO_ARF,526,0.906896551724138
1,57,ARF_HYPER,1,0.0017241379310344827
1,57,ARF_HYPOX,51,0.08793103448275862
1,57,ARF_MIXED,1,0.0017241379310344827
1,57,NO_ARF,527,0.9086206896551724
1,58,ARF_HYPOX,48,0.08275862068965517
1,58,ARF_MIXED,2,0.0034482758620689655
1,58,NO_ARF,530,0.9137931034482759
1,59,ARF_HYPER,1,0.0017241379310344827
1,59,ARF_HYPOX,44,0.07586206896551724
1,59,ARF_MIXED,2,0.0034482758620689655
1,59,NO_ARF,533,0.9189655172413793
1,60,ARF_HYPER,1,0.0017241379310344827
1,60,ARF_HYPOX,43,0.07413793103448275
1,60,ARF_MIXED,2,0.0034482758620689655
1,60,NO_ARF,534,0.9206896551724137
1,61,ARF_HYPER,2,0.0034482758620689655
1,61,ARF_HYPOX,44,0.07586206896551724
1,61,ARF_MIXED,2,0.0034482758620689655
1,61,NO_ARF,532,0.9172413793103448
1,62,ARF_HYPER,2,0.0034482758620689655
1,62,ARF_HYPOX,40,0.06896551724137931
1,62,ARF_MIXED,3,0.005172413793103448
1,62,NO_ARF,535,0.9224137931034483
1,63,ARF_HYPER,3,0.005172413793103448
1,63,ARF_HYPOX,39,0.06724137931034482
1,63,ARF_MIXED,4,0.006896551724137931
1,63,NO_ARF,534,0.9206896551724137
1,64,ARF_HYPER,3,0.005172413793103448
1,64,ARF_HYPOX,41,0.0706896551724138
1,64,ARF_MIXED,4,0.006896551724137931
1,64,NO_ARF,532,0.9172413793103448
1,65,ARF_HYPER,5,0.008620689655172414
1,65,ARF_HYPOX,41,0.0706896551724138
1,65,ARF_MIXED,3,0.005172413793103448
1,65,NO_ARF,531,0.9155172413793103
1,66,ARF_HYPER,5,0.008620689655172414
1,66,ARF_HYPOX,44,0.07586206896551724
1,66,ARF_MIXED,4,0.006896551724137931
1,66,NO_ARF,527,0.9086206896551724
1,67,ARF_HYPER,8,0.013793103448275862
1,67,ARF_HYPOX,37,0.06379310344827586
1,67,ARF_MIXED,4,0.006896551724137931
1,67,NO_ARF,531,0.9155172413793103
1,68,ARF_HYPER,8,0.013793103448275862
1,68,ARF_HYPOX,38,0.06551724137931035
1,68,ARF_MIXED,5,0.008620689655172414
1,68,NO_ARF,529,0.9120689655172414
1,69,ARF_HYPER,8,0.013793103448275862
