traj_cluster_ra,h,rs,n,prop
2,14,OTHER,1,0.0029239766081871343
2,14,ROOM AIR,2,0.005847953216374269
2,15,IMV,8,0.023391812865497075
2,15,LOW_O2,56,0.16374269005847952
2,15,NIV,276,0.8070175438596491
2,15,ROOM AIR,2,0.005847953216374269
2,16,IMV,8,0.023391812865497075
2,16,LOW_O2,55,0.1608187134502924
2,16,NIV,276,0.8070175438596491
2,16,ROOM AIR,3,0.008771929824561403
2,17,IMV,7,0.02046783625730994
2,17,LOW_O2,57,0.16666666666666666
2,17,NIV,275,0.804093567251462
2,17,ROOM AIR,3,0.008771929824561403
2,18,IMV,7,0.02046783625730994
2,18,LOW_O2,57,0.16666666666666666
2,18,NIV,273,0.7982456140350878
2,18,OTHER,1,0.0029239766081871343
2,18,ROOM AIR,4,0.011695906432748537
2,19,IMV,7,0.02046783625730994
2,19,LOW_O2,57,0.16666666666666666
2,19,NIV,272,0.7953216374269005
2,19,OTHER,1,0.0029239766081871343
2,19,ROOM AIR,5,0.014619883040935672
2,20,IMV,6,0.017543859649122806
2,20,LOW_O2,67,0.195906432748538
2,20,NIV,265,0.7748538011695907
2,20,OTHER,1,0.0029239766081871343
2,20,ROOM AIR,3,0.008771929824561403
2,21,IMV,7,0.02046783625730994
2,21,LOW_O2,69,0.20175438596491227
2,21,NIV,264,0.7719298245614035
2,21,ROOM AIR,2,0.005847953216374269
2,22,IMV,7,0.02046783625730994
2,22,LOW_O2,73,0.2134502923976608
2,22,NIV,259,0.7573099415204678
2,22,ROOM AIR,3,0.008771929824561403
2,23,IMV,7,0.02046783625730994
2,23,LOW_O2,77,0.22514619883040934
2,23,NIV,255,0.7456140350877193
2,23,ROOM AIR,3,0.008771929824561403
2,24,IMV,7,0.02046783625730994
2,24,LOW_O2,81,0.23684210526315788
2,24,NIV,251,0.7339181286549707
2,24,ROOM AIR,3,0.008771929824561403
2,25,IMV,7,0.02046783625730994
2,25,LOW_O2,83,0.24269005847953215
2,25,NIV,250,0.7309941520467836
2,25,ROOM AIR,2,0.005847953216374269
2,26,IMV,7,0.02046783625730994
2,26,LOW_O2,84,0.24561403508771928
2,26,NIV,249,0.7280701754385965
2,26,ROOM AIR,2,0.005847953216374269
2,27,IMV,7,0.02046783625730994
2,27,LOW_O2,84,0.24561403508771928
2,27,NIV,247,0.7222222222222222
2,27,ROOM AIR,4,0.011695906432748537
2,28,IMV,8,0.023391812865497075
2,28,LOW_O2,78,0.22807017543859648
2,28,NIV,253,0.7397660818713451
2,28,ROOM AIR,3,0.008771929824561403
2,29,IMV,8,0.023391812865497075
2,29,LOW_O2,86,0.25146198830409355
2,29,NIV,247,0.7222222222222222
2,29,ROOM AIR,1,0.0029239766081871343
2,30,IMV,9,0.02631578947368421
2,30,LOW_O2,84,0.24561403508771928
2,30,NIV,248,0.7251461988304093
2,30,ROOM AIR,1,0.0029239766081871343
2,31,IMV,7,0.02046783625730994
2,31,LOW_O2,83,0.24269005847953215
2,31,NIV,251,0.7339181286549707
2,31,ROOM AIR,1,0.0029239766081871343
2,32,IMV,7,0.02046783625730994
2,32,LOW_O2,82,0.23976608187134502
2,32,NIV,252,0.7368421052631579
2,32,ROOM AIR,1,0.0029239766081871343
2,33,IMV,8,0.023391812865497075
2,33,LOW_O2,80,0.23391812865497075
2,33,NIV,251,0.7339181286549707
2,33,ROOM AIR,3,0.008771929824561403
2,34,IMV,8,0.023391812865497075
2,34,LOW_O2,82,0.23976608187134502
2,34,NIV,249,0.7280701754385965
2,34,ROOM AIR,3,0.008771929824561403
2,35,IMV,8,0.023391812865497075
2,35,LOW_O2,82,0.23976608187134502
2,35,NIV,249,0.7280701754385965
2,35,ROOM AIR,3,0.008771929824561403
2,36,IMV,10,0.029239766081871343
2,36,LOW_O2,88,0.2573099415204678
2,36,NIV,243,0.7105263157894737
2,36,ROOM AIR,1,0.0029239766081871343
2,37,IMV,8,0.023391812865497075
2,37,LOW_O2,86,0.25146198830409355
2,37,NIV,247,0.7222222222222222
2,37,ROOM AIR,1,0.0029239766081871343
2,38,IMV,8,0.023391812865497075
2,38,LOW_O2,90,0.2631578947368421
2,38,NIV,243,0.7105263157894737
2,38,ROOM AIR,1,0.0029239766081871343
2,39,IMV,8,0.023391812865497075
2,39,LOW_O2,90,0.2631578947368421
2,39,NIV,243,0.7105263157894737
2,39,ROOM AIR,1,0.0029239766081871343
2,40,IMV,8,0.023391812865497075
2,40,LOW_O2,93,0.2719298245614035
2,40,NIV,238,0.695906432748538
2,40,ROOM AIR,3,0.008771929824561403
2,41,IMV,10,0.029239766081871343
2,41,LOW_O2,92,0.26900584795321636
2,41,NIV,236,0.6900584795321637
2,41,ROOM AIR,4,0.011695906432748537
2,42,IMV,9,0.02631578947368421
2,42,LOW_O2,97,0.28362573099415206
2,42,NIV,231,0.6754385964912281
2,42,ROOM AIR,5,0.014619883040935672
2,43,IMV,10,0.029239766081871343
2,43,LOW_O2,97,0.28362573099415206
2,43,NIV,231,0.6754385964912281
2,43,ROOM AIR,4,0.011695906432748537
2,44,IMV,12,0.03508771929824561
2,44,LOW_O2,101,0.2953216374269006
2,44,NIV,224,0.6549707602339181
2,44,ROOM AIR,5,0.014619883040935672
2,45,IMV,14,0.04093567251461988
2,45,LOW_O2,100,0.29239766081871343
2,45,NIV,222,0.6491228070175439
2,45,ROOM AIR,6,0.017543859649122806
2,46,IMV,14,0.04093567251461988
2,46,LOW_O2,94,0.27485380116959063
2,46,NIV,225,0.6578947368421053
2,46,ROOM AIR,9,0.02631578947368421
2,47,IMV,14,0.04093567251461988
2,47,LOW_O2,93,0.2719298245614035
2,47,NIV,226,0.6608187134502924
2,47,ROOM AIR,9,0.02631578947368421
2,48,IMV,14,0.04093567251461988
2,48,LOW_O2,97,0.28362573099415206
2,48,NIV,222,0.6491228070175439
2,48,ROOM AIR,9,0.02631578947368421
2,49,IMV,14,0.04093567251461988
2,49,LOW_O2,99,0.2894736842105263
2,49,NIV,222,0.6491228070175439
2,49,ROOM AIR,7,0.02046783625730994
2,50,IMV,14,0.04093567251461988
2,50,LOW_O2,102,0.2982456140350877
2,50,NIV,218,0.6374269005847953
2,50,ROOM AIR,8,0.023391812865497075
2,51,IMV,15,0.043859649122807015
2,51,LOW_O2,105,0.30701754385964913
2,51,NIV,213,0.6228070175438597
2,51,ROOM AIR,9,0.02631578947368421
2,52,IMV,16,0.04678362573099415
2,52,LOW_O2,109,0.31871345029239767
2,52,NIV,211,0.6169590643274854
2,52,ROOM AIR,6,0.017543859649122806
2,53,IMV,17,0.049707602339181284
