traj_cluster_ra,h,arf,n,prop
2,9,NO_ARF,135,0.9574468085106383
2,10,ARF_HYPER,1,0.0070921985815602835
2,10,ARF_HYPOX,2,0.014184397163120567
2,10,ARF_MIXED,2,0.014184397163120567
2,10,NO_ARF,136,0.9645390070921985
2,11,ARF_HYPER,2,0.014184397163120567
2,11,ARF_HYPOX,2,0.014184397163120567
2,11,ARF_MIXED,2,0.014184397163120567
2,11,NO_ARF,135,0.9574468085106383
2,12,ARF_HYPER,2,0.014184397163120567
2,12,ARF_HYPOX,1,0.0070921985815602835
2,12,ARF_MIXED,2,0.014184397163120567
2,12,NO_ARF,136,0.9645390070921985
2,13,ARF_HYPER,2,0.014184397163120567
2,13,ARF_HYPOX,2,0.014184397163120567
2,13,ARF_MIXED,2,0.014184397163120567
2,13,NO_ARF,135,0.9574468085106383
2,14,ARF_HYPER,3,0.02127659574468085
2,14,ARF_HYPOX,1,0.0070921985815602835
2,14,ARF_MIXED,2,0.014184397163120567
2,14,NO_ARF,135,0.9574468085106383
2,15,ARF_HYPER,2,0.014184397163120567
2,15,ARF_HYPOX,1,0.0070921985815602835
2,15,ARF_MIXED,1,0.0070921985815602835
2,15,NO_ARF,137,0.9716312056737588
2,16,ARF_HYPER,2,0.014184397163120567
2,16,ARF_HYPOX,1,0.0070921985815602835
2,16,ARF_MIXED,1,0.0070921985815602835
2,16,NO_ARF,137,0.9716312056737588
2,17,ARF_HYPER,2,0.014184397163120567
2,17,ARF_HYPOX,1,0.0070921985815602835
2,17,ARF_MIXED,1,0.0070921985815602835
2,17,NO_ARF,137,0.9716312056737588
2,18,ARF_HYPER,1,0.0070921985815602835
2,18,ARF_HYPOX,1,0.0070921985815602835
2,18,ARF_MIXED,1,0.0070921985815602835
2,18,NO_ARF,138,0.9787234042553191
2,19,ARF_HYPER,1,0.0070921985815602835
2,19,ARF_HYPOX,1,0.0070921985815602835
2,19,ARF_MIXED,3,0.02127659574468085
2,19,NO_ARF,136,0.9645390070921985
2,20,ARF_HYPER,1,0.0070921985815602835
2,20,ARF_MIXED,2,0.014184397163120567
2,20,NO_ARF,138,0.9787234042553191
2,21,ARF_MIXED,2,0.014184397163120567
2,21,NO_ARF,139,0.9858156028368794
2,22,ARF_MIXED,2,0.014184397163120567
2,22,NO_ARF,139,0.9858156028368794
2,23,ARF_MIXED,2,0.014184397163120567
2,23,NO_ARF,139,0.9858156028368794
2,24,ARF_MIXED,2,0.014184397163120567
