pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Room air / No ARF,29,Noninvasive ventilation,361,0.02215811441198134
1,Cluster 1: Room air / No ARF,29,Other support,153,0.00939111220230788
1,Cluster 1: Room air / No ARF,29,Room air,11909,0.7309722563221213
1,Cluster 1: Room air / No ARF,30,Invasive ventilation,484,0.02970783206481709
1,Cluster 1: Room air / No ARF,30,Low-flow oxygen,3192,0.195924380063835
1,Cluster 1: Room air / No ARF,30,Noninvasive ventilation,340,0.020869138227350845
1,Cluster 1: Room air / No ARF,30,Other support,152,0.009329732383992144
1,Cluster 1: Room air / No ARF,30,Room air,12124,0.7441689172600049
1,Cluster 1: Room air / No ARF,31,Invasive ventilation,439,0.026945740240608886
1,Cluster 1: Room air / No ARF,31,Low-flow oxygen,3074,0.18868156150257795
1,Cluster 1: Room air / No ARF,31,Noninvasive ventilation,327,0.020071200589246257
1,Cluster 1: Room air / No ARF,31,Other support,130,0.007979376381045912
1,Cluster 1: Room air / No ARF,31,Room air,12322,0.756322121286521
1,Cluster 1: Room air / No ARF,32,Invasive ventilation,404,0.024797446599558064
1,Cluster 1: Room air / No ARF,32,Low-flow oxygen,2968,0.18217530076110974
1,Cluster 1: Room air / No ARF,32,Noninvasive ventilation,306,0.01878222440461576
1,Cluster 1: Room air / No ARF,32,Other support,118,0.007242818561257059
1,Cluster 1: Room air / No ARF,32,Room air,12496,0.7670022096734593
1,Cluster 1: Room air / No ARF,33,Invasive ventilation,371,0.022771912595138718
1,Cluster 1: Room air / No ARF,33,Low-flow oxygen,2835,0.17401178492511662
1,Cluster 1: Room air / No ARF,33,Noninvasive ventilation,283,0.017370488583353792
1,Cluster 1: Room air / No ARF,33,Other support,110,0.006751780014731156
1,Cluster 1: Room air / No ARF,33,Room air,12693,0.7790940338816598
1,Cluster 1: Room air / No ARF,34,Invasive ventilation,345,0.021176037318929537
1,Cluster 1: Room air / No ARF,34,Low-flow oxygen,2665,0.1635772158114412
1,Cluster 1: Room air / No ARF,34,Noninvasive ventilation,254,0.015590473852197398
1,Cluster 1: Room air / No ARF,34,Other support,106,0.006506260741468205
1,Cluster 1: Room air / No ARF,34,Room air,12922,0.7931500122759637
1,Cluster 1: Room air / No ARF,35,Invasive ventilation,323,0.019825681315983303
1,Cluster 1: Room air / No ARF,35,Low-flow oxygen,2483,0.1524060888779769
1,Cluster 1: Room air / No ARF,35,Noninvasive ventilation,247,0.015160815123987233
1,Cluster 1: Room air / No ARF,35,Other support,104,0.006383501104836729
1,Cluster 1: Room air / No ARF,35,Room air,13135,0.8062239135772158
1,Cluster 1: Room air / No ARF,36,Invasive ventilation,280,0.01718634912840658
1,Cluster 1: Room air / No ARF,36,Low-flow oxygen,2343,0.14381291431377363
1,Cluster 1: Room air / No ARF,36,Noninvasive ventilation,217,0.013319420574515099
1,Cluster 1: Room air / No ARF,36,Other support,103,0.006322121286520992
1,Cluster 1: Room air / No ARF,36,Room air,13349,0.8193591946967836
1,Cluster 1: Room air / No ARF,37,Invasive ventilation,245,0.015038055487355758
1,Cluster 1: Room air / No ARF,37,Low-flow oxygen,2150,0.13196660937883622
1,Cluster 1: Room air / No ARF,37,Noninvasive ventilation,209,0.012828382027989197
1,Cluster 1: Room air / No ARF,37,Other support,104,0.006383501104836729
1,Cluster 1: Room air / No ARF,37,Room air,13584,0.833783452000982
1,Cluster 1: Room air / No ARF,38,Invasive ventilation,217,0.013319420574515099
1,Cluster 1: Room air / No ARF,38,Low-flow oxygen,1963,0.12048858335379327
1,Cluster 1: Room air / No ARF,38,Noninvasive ventilation,197,0.012091824208200343
1,Cluster 1: Room air / No ARF,38,Other support,97,0.005953842376626565
1,Cluster 1: Room air / No ARF,38,Room air,13818,0.8481463294868647
1,Cluster 1: Room air / No ARF,39,Invasive ventilation,195,0.011969064571568868
1,Cluster 1: Room air / No ARF,39,Low-flow oxygen,1799,0.11042229315001227
1,Cluster 1: Room air / No ARF,39,Noninvasive ventilation,183,0.011232506751780015
1,Cluster 1: Room air / No ARF,39,Other support,91,0.005585563466732138
1,Cluster 1: Room air / No ARF,39,Room air,14024,0.8607905720599067
1,Cluster 1: Room air / No ARF,40,Invasive ventilation,180,0.011048367296832801
1,Cluster 1: Room air / No ARF,40,Low-flow oxygen,1649,0.1012153204026516
1,Cluster 1: Room air / No ARF,40,Noninvasive ventilation,174,0.010680088386938374
1,Cluster 1: Room air / No ARF,40,Other support,82,0.005033145101890499
1,Cluster 1: Room air / No ARF,40,Room air,14207,0.8720230788116867
1,Cluster 1: Room air / No ARF,41,Invasive ventilation,165,0.010127670022096734
1,Cluster 1: Room air / No ARF,41,Low-flow oxygen,1554,0.09538423766265652
1,Cluster 1: Room air / No ARF,41,Noninvasive ventilation,176,0.01080284802356985
1,Cluster 1: Room air / No ARF,41,Other support,73,0.0044807267370488586
1,Cluster 1: Room air / No ARF,41,Room air,14324,0.879204517554628
1,Cluster 1: Room air / No ARF,42,Invasive ventilation,143,0.008777314019150504
1,Cluster 1: Room air / No ARF,42,Low-flow oxygen,1438,0.08826417873803094
1,Cluster 1: Room air / No ARF,42,Noninvasive ventilation,180,0.011048367296832801
1,Cluster 1: Room air / No ARF,42,Other support,62,0.003805548735575743
1,Cluster 1: Room air / No ARF,42,Room air,14469,0.88810459121041
1,Cluster 1: Room air / No ARF,43,Invasive ventilation,126,0.007733857107782961
1,Cluster 1: Room air / No ARF,43,Low-flow oxygen,1330,0.08163515835993125
1,Cluster 1: Room air / No ARF,43,Noninvasive ventilation,183,0.011232506751780015
1,Cluster 1: Room air / No ARF,43,Other support,63,0.0038669285538914804
1,Cluster 1: Room air / No ARF,43,Room air,14590,0.8955315492266143
1,Cluster 1: Room air / No ARF,44,Invasive ventilation,111,0.0068131598330468945
1,Cluster 1: Room air / No ARF,44,Low-flow oxygen,1230,0.07549717652835748
1,Cluster 1: Room air / No ARF,44,Noninvasive ventilation,182,0.011171126933464276
1,Cluster 1: Room air / No ARF,44,Other support,62,0.003805548735575743
1,Cluster 1: Room air / No ARF,44,Room air,14707,0.9027129879695556
1,Cluster 1: Room air / No ARF,45,Invasive ventilation,101,0.006199361649889516
1,Cluster 1: Room air / No ARF,45,Low-flow oxygen,1155,0.07089369015467714
1,Cluster 1: Room air / No ARF,45,Noninvasive ventilation,186,0.011416646206727228
1,Cluster 1: Room air / No ARF,45,Other support,57,0.003498649643997054
1,Cluster 1: Room air / No ARF,45,Room air,14793,0.907991652344709
1,Cluster 1: Room air / No ARF,46,Invasive ventilation,98,0.006015222194942303
1,Cluster 1: Room air / No ARF,46,Low-flow oxygen,1093,0.0670881414191014
1,Cluster 1: Room air / No ARF,46,Noninvasive ventilation,170,0.010434569113675423
1,Cluster 1: Room air / No ARF,46,Other support,45,0.0027620918242082003
1,Cluster 1: Room air / No ARF,46,Room air,14886,0.9136999754480727
1,Cluster 1: Room air / No ARF,47,Invasive ventilation,96,0.0058924625583108275
1,Cluster 1: Room air / No ARF,47,Low-flow oxygen,1062,0.06518536705131353
1,Cluster 1: Room air / No ARF,47,Noninvasive ventilation,182,0.011171126933464276
1,Cluster 1: Room air / No ARF,47,Other support,47,0.002884851460839676
1,Cluster 1: Room air / No ARF,47,Room air,14905,0.9148661919960717
1,Cluster 1: Room air / No ARF,48,Invasive ventilation,89,0.005462803830100663
1,Cluster 1: Room air / No ARF,48,Low-flow oxygen,992,0.060888779769211886
1,Cluster 1: Room air / No ARF,48,Noninvasive ventilation,170,0.010434569113675423
1,Cluster 1: Room air / No ARF,48,Other support,48,0.0029462312791554137
1,Cluster 1: Room air / No ARF,48,Room air,14993,0.9202676160078567
1,Cluster 1: Room air / No ARF,49,Invasive ventilation,81,0.00497176528357476
1,Cluster 1: Room air / No ARF,49,Low-flow oxygen,982,0.0602749815860545
1,Cluster 1: Room air / No ARF,49,Noninvasive ventilation,180,0.011048367296832801
1,Cluster 1: Room air / No ARF,49,Other support,42,0.002577952369260987
1,Cluster 1: Room air / No ARF,49,Room air,15007,0.921126933464277
1,Cluster 1: Room air / No ARF,50,Invasive ventilation,79,0.004849005646943285
1,Cluster 1: Room air / No ARF,50,Low-flow oxygen,951,0.058372207218266636
1,Cluster 1: Room air / No ARF,50,Noninvasive ventilation,193,0.011846304934937393
1,Cluster 1: Room air / No ARF,50,Other support,38,0.002332433095998036
1,Cluster 1: Room air / No ARF,50,Room air,15031,0.9226000491038546
1,Cluster 1: Room air / No ARF,51,Invasive ventilation,76,0.004664866191996072
1,Cluster 1: Room air / No ARF,51,Low-flow oxygen,936,0.057451509943530564
1,Cluster 1: Room air / No ARF,51,Noninvasive ventilation,204,0.012521482936410509
1,Cluster 1: Room air / No ARF,51,Other support,33,0.002025534004419347
1,Cluster 1: Room air / No ARF,51,Room air,15043,0.9233366069236435
1,Cluster 1: Room air / No ARF,52,Invasive ventilation,77,0.0047262460103118095
1,Cluster 1: Room air / No ARF,52,Low-flow oxygen,911,0.05591701448563712
1,Cluster 1: Room air / No ARF,52,Noninvasive ventilation,191,0.011723545298305917
1,Cluster 1: Room air / No ARF,52,Other support,35,0.0021482936410508226
1,Cluster 1: Room air / No ARF,52,Room air,15078,0.9254849005646943
1,Cluster 1: Room air / No ARF,53,Invasive ventilation,80,0.004910385465259023
1,Cluster 1: Room air / No ARF,53,Low-flow oxygen,895,0.054934937392585315
1,Cluster 1: Room air / No ARF,53,Noninvasive ventilation,186,0.011416646206727228
1,Cluster 1: Room air / No ARF,53,Other support,36,0.00220967345936656
1,Cluster 1: Room air / No ARF,53,Room air,15095,0.9265283574760619
1,Cluster 1: Room air / No ARF,54,Invasive ventilation,79,0.004849005646943285
1,Cluster 1: Room air / No ARF,54,Low-flow oxygen,872,0.05352320157132335
1,Cluster 1: Room air / No ARF,54,Noninvasive ventilation,172,0.0105573287503069
1,Cluster 1: Room air / No ARF,54,Other support,31,0.0019027743677878714
1,Cluster 1: Room air / No ARF,54,Room air,15138,0.9291676896636386
1,Cluster 1: Room air / No ARF,55,Invasive ventilation,80,0.004910385465259023
1,Cluster 1: Room air / No ARF,55,Low-flow oxygen,857,0.052602504296587284
1,Cluster 1: Room air / No ARF,55,Noninvasive ventilation,158,0.00969801129388657
1,Cluster 1: Room air / No ARF,55,Other support,35,0.0021482936410508226
1,Cluster 1: Room air / No ARF,55,Room air,15162,0.9306408053032164
1,Cluster 1: Room air / No ARF,56,Invasive ventilation,80,0.004910385465259023
1,Cluster 1: Room air / No ARF,56,Low-flow oxygen,869,0.05333906211637614
1,Cluster 1: Room air / No ARF,56,Noninvasive ventilation,158,0.00969801129388657
1,Cluster 1: Room air / No ARF,56,Other support,30,0.0018413945494721335
1,Cluster 1: Room air / No ARF,56,Room air,15155,0.9302111465750061
1,Cluster 1: Room air / No ARF,57,Invasive ventilation,85,0.005217284556837711
1,Cluster 1: Room air / No ARF,57,Low-flow oxygen,858,0.05266388411490302
1,Cluster 1: Room air / No ARF,57,Noninvasive ventilation,146,0.008961453474097717
1,Cluster 1: Room air / No ARF,57,Other support,30,0.0018413945494721335
1,Cluster 1: Room air / No ARF,57,Room air,15173,0.9313159833046895
1,Cluster 1: Room air / No ARF,58,Invasive ventilation,88,0.005401424011784925
1,Cluster 1: Room air / No ARF,58,Low-flow oxygen,837,0.05137490793027252
1,Cluster 1: Room air / No ARF,58,Noninvasive ventilation,139,0.008531794745887552
1,Cluster 1: Room air / No ARF,58,Other support,29,0.0017800147311563957
1,Cluster 1: Room air / No ARF,58,Room air,15199,0.9329118585808986
1,Cluster 1: Room air / No ARF,59,Invasive ventilation,91,0.005585563466732138
1,Cluster 1: Room air / No ARF,59,Low-flow oxygen,820,0.05033145101890498
1,Cluster 1: Room air / No ARF,59,Noninvasive ventilation,142,0.008715934200834765
1,Cluster 1: Room air / No ARF,59,Other support,32,0.001964154186103609
1,Cluster 1: Room air / No ARF,59,Room air,15207,0.9334028971274245
1,Cluster 1: Room air / No ARF,60,Invasive ventilation,90,0.005524183648416401
1,Cluster 1: Room air / No ARF,60,Low-flow oxygen,809,0.04965627301743187
1,Cluster 1: Room air / No ARF,60,Noninvasive ventilation,131,0.00804075619936165
1,Cluster 1: Room air / No ARF,60,Other support,31,0.0019027743677878714
1,Cluster 1: Room air / No ARF,60,Room air,15231,0.9348760127670022
1,Cluster 1: Room air / No ARF,61,Invasive ventilation,90,0.005524183648416401
1,Cluster 1: Room air / No ARF,61,Low-flow oxygen,785,0.04818315737785416
1,Cluster 1: Room air / No ARF,61,Noninvasive ventilation,127,0.007795236926098699
1,Cluster 1: Room air / No ARF,61,Other support,34,0.0020869138227350846
1,Cluster 1: Room air / No ARF,61,Room air,15256,0.9364105082248957
1,Cluster 1: Room air / No ARF,62,Invasive ventilation,94,0.005769702921679352
1,Cluster 1: Room air / No ARF,62,Low-flow oxygen,783,0.048060397741222685
1,Cluster 1: Room air / No ARF,62,Noninvasive ventilation,119,0.007304198379572796
1,Cluster 1: Room air / No ARF,62,Other support,35,0.0021482936410508226
1,Cluster 1: Room air / No ARF,62,Room air,15261,0.9367174073164743
1,Cluster 1: Room air / No ARF,63,Invasive ventilation,96,0.0058924625583108275
1,Cluster 1: Room air / No ARF,63,Low-flow oxygen,776,0.04763073901301252
1,Cluster 1: Room air / No ARF,63,Noninvasive ventilation,108,0.006629020378099681
1,Cluster 1: Room air / No ARF,63,Other support,33,0.002025534004419347
1,Cluster 1: Room air / No ARF,63,Room air,15279,0.9378222440461577
1,Cluster 1: Room air / No ARF,64,Invasive ventilation,98,0.006015222194942303
1,Cluster 1: Room air / No ARF,64,Low-flow oxygen,786,0.0482445371961699
1,Cluster 1: Room air / No ARF,64,Noninvasive ventilation,98,0.006015222194942303
1,Cluster 1: Room air / No ARF,64,Other support,34,0.0020869138227350846
1,Cluster 1: Room air / No ARF,64,Room air,15276,0.9376381045912104
1,Cluster 1: Room air / No ARF,65,Invasive ventilation,98,0.006015222194942303
1,Cluster 1: Room air / No ARF,65,Low-flow oxygen,779,0.04781487846795973
1,Cluster 1: Room air / No ARF,65,Noninvasive ventilation,101,0.006199361649889516
1,Cluster 1: Room air / No ARF,65,Other support,37,0.002271053277682298
1,Cluster 1: Room air / No ARF,65,Room air,15277,0.9376994844095261
1,Cluster 1: Room air / No ARF,66,Invasive ventilation,98,0.006015222194942303
1,Cluster 1: Room air / No ARF,66,Low-flow oxygen,780,0.047876258286275473
1,Cluster 1: Room air / No ARF,66,Noninvasive ventilation,99,0.006076602013258041
1,Cluster 1: Room air / No ARF,66,Other support,44,0.0027007120058924624
1,Cluster 1: Room air / No ARF,66,Room air,15271,0.9373312054996317
1,Cluster 1: Room air / No ARF,67,Invasive ventilation,100,0.006137981831573778
1,Cluster 1: Room air / No ARF,67,Low-flow oxygen,783,0.048060397741222685
1,Cluster 1: Room air / No ARF,67,Noninvasive ventilation,107,0.006567640559783943
1,Cluster 1: Room air / No ARF,67,Other support,47,0.002884851460839676
1,Cluster 1: Room air / No ARF,67,Room air,15255,0.9363491284065799
1,Cluster 1: Room air / No ARF,68,Invasive ventilation,101,0.006199361649889516
1,Cluster 1: Room air / No ARF,68,Low-flow oxygen,816,0.050085931745642034
1,Cluster 1: Room air / No ARF,68,Noninvasive ventilation,101,0.006199361649889516
1,Cluster 1: Room air / No ARF,68,Other support,48,0.0029462312791554137
1,Cluster 1: Room air / No ARF,68,Room air,15226,0.9345691136754235
1,Cluster 1: Room air / No ARF,69,Invasive ventilation,103,0.006322121286520992
1,Cluster 1: Room air / No ARF,69,Low-flow oxygen,824,0.050576970292167935
1,Cluster 1: Room air / No ARF,69,Noninvasive ventilation,102,0.006260741468205254
1,Cluster 1: Room air / No ARF,69,Other support,43,0.002639332187576725
1,Cluster 1: Room air / No ARF,69,Room air,15220,0.9342008347655291
1,Cluster 1: Room air / No ARF,70,Invasive ventilation,107,0.006567640559783943
1,Cluster 1: Room air / No ARF,70,Low-flow oxygen,828,0.05082248956543089
1,Cluster 1: Room air / No ARF,70,Noninvasive ventilation,117,0.0071814387429413205
1,Cluster 1: Room air / No ARF,70,Other support,45,0.0027620918242082003
1,Cluster 1: Room air / No ARF,70,Room air,15195,0.93266633930763565
1,Cluster 1: Room air / No ARF,71,Invasive ventilation,110,0.006751780014731156
