county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
38013,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
38015,1,2,10,0.2,4199,4.763038818766373e-4,NA,NA,NA,umn
38015,2,2,10,0.2,1351,0.0014803849000740192,NA,NA,NA,umn
38015,3,3,10,0.3,3180,9.433962264150943e-4,NA,NA,NA,umn
38015,4,3,10,0.3,3128,9.590792838874681e-4,NA,NA,NA,umn
38017,1,1,12,0.08333333333333333,4199,2.3815194093831864e-4,NA,NA,NA,umn
38017,2,7,12,0.5833333333333334,1351,0.0051813471502590676,NA,NA,NA,umn
38017,3,3,12,0.25,3180,9.433962264150943e-4,NA,NA,NA,umn
38017,4,1,12,0.08333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
38019,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
38025,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
38035,1,1,4,0.25,4199,2.3815194093831864e-4,NA,NA,NA,umn
38035,2,1,4,0.25,1351,7.401924500370096e-4,NA,NA,NA,umn
38035,4,2,4,0.5,3128,6.393861892583121e-4,NA,NA,NA,umn
38045,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
38049,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
38053,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
38053,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
38055,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
38059,1,5,8,0.625,4199,0.0011907597046915933,NA,NA,NA,umn
38059,2,2,8,0.25,1351,0.0014803849000740192,NA,NA,NA,umn
38059,4,1,8,0.125,3128,3.1969309462915604e-4,NA,NA,NA,umn
38071,2,1,4,0.25,1351,7.401924500370096e-4,NA,NA,NA,umn
38071,3,2,4,0.5,3180,6.289308176100629e-4,NA,NA,NA,umn
38071,4,1,4,0.25,3128,3.1969309462915604e-4,NA,NA,NA,umn
38073,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
38073,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
38077,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
38079,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
38085,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
38085,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
38089,2,2,3,0.6666666666666666,1351,0.0014803849000740192,NA,NA,NA,umn
38089,4,1,3,0.3333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
38093,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
38095,1,1,3,0.3333333333333333,4199,2.3815194093831864e-4,NA,NA,NA,umn
38095,3,1,3,0.3333333333333333,3180,3.1446540880503143e-4,NA,NA,NA,umn
38095,4,1,3,0.3333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
38101,1,1,11,0.09090909090909091,4199,2.3815194093831864e-4,NA,NA,NA,umn
38101,2,1,11,0.09090909090909091,1351,7.401924500370096e-4,NA,NA,NA,umn
38101,3,6,11,0.5454545454545454,3180,0.0018867924528301887,NA,NA,NA,umn
38101,4,3,11,0.2727272727272727,3128,9.590792838874681e-4,NA,NA,NA,umn
38103,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
38103,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
38105,1,1,4,0.25,4199,2.3815194093831864e-4,NA,NA,NA,umn
38105,2,2,4,0.5,1351,0.0014803849000740192,NA,NA,NA,umn
38105,4,1,4,0.25,3128,3.1969309462915604e-4,NA,NA,NA,umn
39029,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
39055,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
39165,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
40031,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
41011,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
41051,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
42065,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
42079,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
42101,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
45085,3,2,2,1,3180,6.289308176100629e-4,NA,NA,NA,umn
46005,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
