traj_cluster_ra,h,rs,n
1,11,IMV,<10
1,12,IMV,<10
1,13,IMV,<10
1,67,LOW_O2,<10
1,68,LOW_O2,<10
1,70,LOW_O2,<10
2,4,ROOM AIR,<10
2,17,IMV,<10
2,18,IMV,<10
2,19,IMV,<10
2,20,IMV,<10
2,39,ROOM AIR,<10
2,50,NIV,<10
2,51,NIV,<10
2,52,NIV,<10
2,56,NIV,<10
2,57,NIV,<10
2,64,NIV,<10
2,65,NIV,<10
2,66,NIV,<10
3,8,LOW_O2,<10
3,10,LOW_O2,<10
3,18,LOW_O2,<10
3,19,LOW_O2,<10
3,22,LOW_O2,<10
3,24,LOW_O2,<10
3,27,LOW_O2,<10
3,29,LOW_O2,<10
3,34,LOW_O2,<10
3,40,LOW_O2,<10
4,6,NIV,<10
4,7,NIV,<10
4,58,NIV,<10
4,59,NIV,<10
4,61,LOW_O2,<10
4,62,LOW_O2,<10
4,63,LOW_O2,<10
4,65,NIV,<10
4,66,NIV,<10
4,69,NIV,<10
1,0,NIV,10
1,42,LOW_O2,10
1,43,LOW_O2,10
1,44,LOW_O2,10
1,47,LOW_O2,10
1,48,LOW_O2,10
1,49,LOW_O2,10
1,50,LOW_O2,10
1,54,LOW_O2,10
1,63,LOW_O2,10
1,64,LOW_O2,10
1,66,LOW_O2,10
1,71,LOW_O2,10
2,0,ROOM AIR,10
2,1,ROOM AIR,10
2,2,ROOM AIR,10
2,3,ROOM AIR,10
2,15,IMV,10
2,16,IMV,10
2,25,NIV,10
2,29,NIV,10
2,40,ROOM AIR,10
2,41,ROOM AIR,10
2,52,ROOM AIR,10
2,53,NIV,10
2,54,NIV,10
2,55,NIV,10
2,62,NIV,10
3,41,LOW_O2,10
3,42,LOW_O2,10
4,57,NIV,10
4,60,NIV,10
4,62,NIV,10
4,64,LOW_O2,10
4,64,NIV,10
4,67,NIV,10
4,68,NIV,10
4,70,NIV,10
4,72,NIV,10
1,34,LOW_O2,11
1,38,LOW_O2,11
1,52,LOW_O2,11
1,53,LOW_O2,11
1,61,LOW_O2,11
1,72,LOW_O2,11
2,14,IMV,11
2,26,NIV,11
2,27,NIV,11
2,28,NIV,11
2,42,ROOM AIR,11
2,53,ROOM AIR,11
2,54,ROOM AIR,11
2,63,NIV,11
3,43,LOW_O2,11
4,5,NIV,11
4,61,NIV,11
4,63,NIV,11
4,65,LOW_O2,11
4,67,LOW_O2,11
4,71,NIV,11
1,1,NIV,12
1,6,IMV,12
1,8,IMV,12
1,9,IMV,12
1,10,IMV,12
1,35,LOW_O2,12
1,41,LOW_O2,12
1,45,LOW_O2,12
1,46,LOW_O2,12
1,51,LOW_O2,12
1,55,LOW_O2,12
1,56,LOW_O2,12
1,59,LOW_O2,12
1,60,LOW_O2,12
1,65,LOW_O2,12
2,13,IMV,12
2,19,NIV,12
2,22,NIV,12
2,23,NIV,12
2,43,ROOM AIR,12
4,66,LOW_O2,12
4,68,LOW_O2,12
4,70,LOW_O2,12
1,0,IMV,13
1,1,IMV,13
1,2,IMV,13
1,3,IMV,13
1,4,IMV,13
1,5,IMV,13
1,7,IMV,13
1,37,LOW_O2,13
1,62,LOW_O2,13
2,6,IMV,13
2,7,IMV,13
2,12,IMV,13
2,20,NIV,13
2,21,NIV,13
2,24,NIV,13
2,49,ROOM AIR,13
2,57,ROOM AIR,13
4,3,NIV,13
1,36,LOW_O2,14
1,39,LOW_O2,14
1,40,LOW_O2,14
1,57,LOW_O2,14
1,58,LOW_O2,14
2,8,IMV,14
2,11,IMV,14
2,44,ROOM AIR,14
2,46,ROOM AIR,14
2,47,ROOM AIR,14
2,48,ROOM AIR,14
2,50,ROOM AIR,14
2,51,ROOM AIR,14
2,55,ROOM AIR,14
2,58,ROOM AIR,14
3,44,LOW_O2,14
3,46,LOW_O2,14
4,4,NIV,14
4,69,LOW_O2,14
4,71,LOW_O2,14
1,33,LOW_O2,15
2,5,IMV,15
2,9,IMV,15
2,10,IMV,15
2,18,NIV,15
2,45,ROOM AIR,15
2,56,ROOM AIR,15
3,48,LOW_O2,15
3,52,LOW_O2,15
3,55,LOW_O2,15
4,72,LOW_O2,15
2,1,IMV,16
2,2,IMV,16
2,3,IMV,16
2,4,IMV,16
2,15,NIV,16
2,16,NIV,16
2,17,NIV,16
2,59,ROOM AIR,16
3,45,LOW_O2,16
3,47,LOW_O2,16
3,49,LOW_O2,16
3,54,LOW_O2,16
3,56,LOW_O2,16
3,57,LOW_O2,16
4,2,NIV,16
1,21,LOW_O2,17
1,24,LOW_O2,17
3,58,LOW_O2,17
3,59,LOW_O2,17
1,20,LOW_O2,18
1,22,LOW_O2,18
1,28,LOW_O2,18
2,0,IMV,18
2,13,NIV,18
2,14,NIV,18
3,50,LOW_O2,18
1,23,LOW_O2,19
