traj_cluster_ra,h,arf,n
2,26,ARF_HYPOX,<10
2,33,ARF_HYPER,<10
3,4,ARF_MIXED,<10
3,5,ARF_MIXED,<10
3,6,ARF_MIXED,<10
3,8,ARF_MIXED,<10
3,9,ARF_HYPOX,<10
3,10,ARF_HYPOX,<10
3,20,ARF_HYPER,<10
3,60,ARF_HYPOX,<10
3,61,ARF_HYPOX,<10
3,62,ARF_HYPOX,<10
3,63,ARF_HYPOX,<10
4,4,ARF_HYPER,<10
4,5,ARF_HYPER,<10
4,7,ARF_HYPER,<10
4,52,ARF_MIXED,<10
4,53,ARF_MIXED,<10
2,2,ARF_MIXED,<10
2,3,ARF_MIXED,<10
2,7,ARF_MIXED,<10
2,21,ARF_HYPER,<10
2,22,ARF_HYPOX,<10
2,23,ARF_HYPER,<10
2,32,ARF_HYPER,<10
4,0,ARF_MIXED,<10
4,3,ARF_HYPER,<10
4,6,ARF_HYPER,<10
4,41,ARF_MIXED,<10
4,47,ARF_MIXED,<10
4,51,ARF_MIXED,<10
4,54,ARF_MIXED,<10
2,0,ARF_HYPER,<10
2,1,ARF_HYPOX,<10
2,4,ARF_MIXED,<10
2,18,ARF_HYPER,<10
2,24,ARF_HYPER,<10
2,25,ARF_HYPER,<10
2,26,ARF_HYPER,<10
2,28,ARF_HYPER,<10
2,31,ARF_HYPER,<10
4,2,ARF_HYPER,<10
4,17,ARF_MIXED,<10
4,40,ARF_MIXED,<10
4,44,ARF_MIXED,<10
4,45,ARF_MIXED,<10
4,46,ARF_MIXED,<10
4,48,ARF_MIXED,<10
4,49,ARF_MIXED,<10
4,50,ARF_MIXED,<10
4,70,ARF_MIXED,<10
2,5,ARF_MIXED,<10
2,6,ARF_MIXED,<10
2,19,ARF_HYPOX,<10
2,20,ARF_HYPOX,<10
2,21,ARF_HYPOX,<10
2,27,ARF_HYPER,<10
2,29,ARF_HYPER,<10
2,30,ARF_HYPER,<10
4,16,ARF_MIXED,<10
4,18,ARF_MIXED,<10
4,21,ARF_MIXED,<10
4,22,ARF_MIXED,<10
4,23,ARF_MIXED,<10
4,25,ARF_MIXED,<10
4,26,ARF_MIXED,<10
4,27,ARF_MIXED,<10
4,35,ARF_MIXED,<10
4,36,ARF_MIXED,<10
4,39,ARF_MIXED,<10
4,42,ARF_MIXED,<10
4,43,ARF_MIXED,<10
4,55,ARF_MIXED,<10
4,62,ARF_MIXED,<10
4,63,ARF_MIXED,<10
4,65,ARF_MIXED,<10
4,66,ARF_MIXED,<10
4,67,ARF_MIXED,<10
2,9,ARF_HYPER,<10
2,17,ARF_HYPER,<10
2,18,ARF_HYPOX,<10
4,0,ARF_HYPER,<10
4,19,ARF_MIXED,<10
4,20,ARF_MIXED,<10
4,24,ARF_MIXED,<10
4,38,ARF_MIXED,<10
4,56,ARF_MIXED,<10
4,57,ARF_MIXED,<10
4,61,ARF_MIXED,<10
4,64,ARF_MIXED,<10
4,68,ARF_MIXED,<10
4,69,ARF_MIXED,<10
2,1,ARF_HYPER,<10
2,2,ARF_HYPER,<10
2,7,ARF_HYPER,<10
2,8,ARF_HYPER,<10
2,10,ARF_HYPER,<10
2,11,ARF_HYPER,<10
2,15,ARF_HYPOX,<10
2,17,ARF_HYPOX,<10
4,1,ARF_HYPER,<10
4,1,ARF_MIXED,<10
4,15,ARF_MIXED,<10
4,32,ARF_MIXED,<10
4,34,ARF_MIXED,<10
4,37,ARF_MIXED,<10
4,60,ARF_MIXED,<10
2,2,ARF_HYPOX,10
2,3,ARF_HYPER,10
2,4,ARF_HYPER,10
2,5,ARF_HYPER,10
2,6,ARF_HYPER,10
2,14,ARF_HYPOX,10
2,16,ARF_HYPER,10
2,16,ARF_HYPOX,10
4,28,ARF_MIXED,10
4,29,ARF_MIXED,10
4,30,ARF_MIXED,10
4,31,ARF_MIXED,10
4,58,ARF_MIXED,10
4,59,ARF_MIXED,10
2,14,ARF_HYPER,11
2,15,ARF_HYPER,11
4,14,ARF_MIXED,11
4,33,ARF_MIXED,11
2,3,ARF_HYPOX,12
2,11,ARF_HYPOX,12
2,12,ARF_HYPER,12
2,13,ARF_HYPER,12
2,13,ARF_HYPOX,12
4,11,ARF_MIXED,12
4,13,ARF_MIXED,12
2,4,ARF_HYPOX,13
2,9,ARF_HYPOX,13
2,10,ARF_HYPOX,13
4,7,ARF_MIXED,13
4,12,ARF_MIXED,13
2,12,ARF_HYPOX,14
4,2,ARF_MIXED,14
4,9,ARF_MIXED,14
4,10,ARF_MIXED,14
2,5,ARF_HYPOX,15
2,7,ARF_HYPOX,15
2,8,ARF_HYPOX,15
2,6,ARF_HYPOX,16
4,0,ARF_HYPOX,16
4,3,ARF_MIXED,16
4,8,ARF_MIXED,16
4,65,ARF_HYPOX,16
4,69,ARF_HYPOX,16
4,68,ARF_HYPOX,17
4,4,ARF_MIXED,18
4,5,ARF_MIXED,18
4,58,ARF_HYPOX,18
4,64,ARF_HYPOX,18
4,66,ARF_HYPOX,18
4,70,ARF_HYPOX,18
4,6,ARF_MIXED,19
4,60,ARF_HYPOX,19
4,67,ARF_HYPOX,19
4,72,ARF_HYPOX,19
4,59,ARF_HYPOX,20
4,63,ARF_HYPOX,20
4,57,ARF_HYPOX,21
4,61,ARF_HYPOX,21
4,71,ARF_HYPOX,21
4,1,ARF_HYPOX,23
4,56,ARF_HYPOX,23
4,62,ARF_HYPOX,23
4,48,ARF_HYPOX,25
4,49,ARF_HYPOX,26
4,52,ARF_HYPOX,26
4,55,ARF_HYPOX,26
4,46,ARF_HYPOX,27
4,47,ARF_HYPOX,27
4,50,ARF_HYPOX,27
4,51,ARF_HYPOX,27
4,53,ARF_HYPOX,27
4,54,ARF_HYPOX,27
4,2,ARF_HYPOX,28
4,32,ARF_HYPOX,28
4,42,ARF_HYPOX,29
4,30,ARF_HYPOX,30
4,45,ARF_HYPOX,30
4,16,ARF_HYPOX,31
4,31,ARF_HYPOX,31
4,33,ARF_HYPOX,31
4,3,ARF_HYPOX,32
4,18,ARF_HYPOX,32
4,28,ARF_HYPOX,32
4,43,ARF_HYPOX,32
4,44,ARF_HYPOX,32
4,4,ARF_HYPOX,33
4,40,ARF_HYPOX,33
4,41,ARF_HYPOX,33
4,12,ARF_HYPOX,34
4,17,ARF_HYPOX,34
4,29,ARF_HYPOX,34
4,34,ARF_HYPOX,34
4,5,ARF_HYPOX,35
4,15,ARF_HYPOX,35
4,19,ARF_HYPOX,35
4,38,ARF_HYPOX,35
4,39,ARF_HYPOX,35
4,8,ARF_HYPOX,36
4,10,ARF_HYPOX,36
4,11,ARF_HYPOX,36
4,13,ARF_HYPOX,36
4,20,ARF_HYPOX,36
4,27,ARF_HYPOX,36
4,14,ARF_HYPOX,37
4,21,ARF_HYPOX,37
4,22,ARF_HYPOX,37
4,37,ARF_HYPOX,37
4,6,ARF_HYPOX,38
4,9,ARF_HYPOX,38
4,7,ARF_HYPOX,39
4,24,ARF_HYPOX,39
4,26,ARF_HYPOX,39
4,35,ARF_HYPOX,39
4,36,ARF_HYPOX,39
4,23,ARF_HYPOX,40
4,25,ARF_HYPOX,42
4,6,NO_ARF,47
4,5,NO_ARF,52
4,7,NO_ARF,53
4,4,NO_ARF,54
4,8,NO_ARF,54
4,9,NO_ARF,54
4,3,NO_ARF,56
4,10,NO_ARF,56
4,11,NO_ARF,58
4,12,NO_ARF,59
4,13,NO_ARF,59
4,14,NO_ARF,60
4,25,NO_ARF,60
4,2,NO_ARF,61
3,4,NO_ARF,62
3,5,NO_ARF,62
3,6,NO_ARF,62
3,8,NO_ARF,62
3,9,NO_ARF,62
3,10,NO_ARF,62
4,23,NO_ARF,62
4,24,NO_ARF,62
3,7,NO_ARF,63
3,14,NO_ARF,63
3,15,NO_ARF,63
3,16,NO_ARF,63
3,17,NO_ARF,63
3,18,NO_ARF,63
3,19,NO_ARF,63
3,59,NO_ARF,63
3,60,NO_ARF,63
4,26,NO_ARF,63
4,35,NO_ARF,63
4,36,NO_ARF,63
4,37,NO_ARF,63
3,0,NO_ARF,64
3,1,NO_ARF,64
3,2,NO_ARF,64
3,3,NO_ARF,64
3,11,NO_ARF,64
3,12,NO_ARF,64
3,13,NO_ARF,64
3,20,NO_ARF,64
3,25,NO_ARF,64
3,31,NO_ARF,64
3,57,NO_ARF,64
3,61,NO_ARF,64
3,62,NO_ARF,64
3,63,NO_ARF,64
3,64,NO_ARF,64
3,65,NO_ARF,64
3,67,NO_ARF,64
3,68,NO_ARF,64
3,69,NO_ARF,64
3,70,NO_ARF,64
4,15,NO_ARF,64
4,29,NO_ARF,64
3,21,NO_ARF,65
3,23,NO_ARF,65
3,24,NO_ARF,65
3,26,NO_ARF,65
3,27,NO_ARF,65
3,28,NO_ARF,65
3,29,NO_ARF,65
3,30,NO_ARF,65
3,32,NO_ARF,65
3,33,NO_ARF,65
3,34,NO_ARF,65
3,35,NO_ARF,65
3,36,NO_ARF,65
3,42,NO_ARF,65
3,44,NO_ARF,65
3,45,NO_ARF,65
3,46,NO_ARF,65
3,47,NO_ARF,65
3,48,NO_ARF,65
3,49,NO_ARF,65
3,50,NO_ARF,65
3,51,NO_ARF,65
3,52,NO_ARF,65
3,53,NO_ARF,65
3,54,NO_ARF,65
3,55,NO_ARF,65
3,56,NO_ARF,65
3,58,NO_ARF,65
3,66,NO_ARF,65
3,71,NO_ARF,65
3,72,NO_ARF,65
4,20,NO_ARF,65
4,21,NO_ARF,65
4,22,NO_ARF,65
4,27,NO_ARF,65
3,22,NO_ARF,66
3,37,NO_ARF,66
3,41,NO_ARF,66
3,43,NO_ARF,66
4,19,NO_ARF,66
4,28,NO_ARF,66
4,34,NO_ARF,66
4,38,NO_ARF,66
3,39,NO_ARF,67
3,40,NO_ARF,67
4,31,NO_ARF,67
4,33,NO_ARF,67
4,39,NO_ARF,67
3,38,NO_ARF,68
4,1,NO_ARF,68
4,17,NO_ARF,68
4,30,NO_ARF,68
4,18,NO_ARF,69
4,16,NO_ARF,70
4,40,NO_ARF,70
4,43,NO_ARF,70
4,32,NO_ARF,71
4,41,NO_ARF,71
4,44,NO_ARF,71
4,42,NO_ARF,73
4,45,NO_ARF,73
4,46,NO_ARF,76
4,47,NO_ARF,76
4,49,NO_ARF,76
4,50,NO_ARF,76
4,54,NO_ARF,76
4,55,NO_ARF,76
4,48,NO_ARF,77
4,51,NO_ARF,77
4,53,NO_ARF,77
4,52,NO_ARF,78
4,56,NO_ARF,78
4,59,NO_ARF,79
4,62,NO_ARF,79
4,0,NO_ARF,80
4,57,NO_ARF,80
4,61,NO_ARF,80
4,58,NO_ARF,81
4,60,NO_ARF,81
4,63,NO_ARF,82
4,64,NO_ARF,83
4,67,NO_ARF,83
4,66,NO_ARF,84
4,68,NO_ARF,84
4,69,NO_ARF,85
4,70,NO_ARF,85
4,71,NO_ARF,85
4,65,NO_ARF,86
4,72,NO_ARF,87
2,6,NO_ARF,154
2,5,NO_ARF,155
2,4,NO_ARF,158
2,7,NO_ARF,158
1,6,NO_ARF,159
2,12,NO_ARF,159
1,3,NO_ARF,160
1,4,NO_ARF,160
1,5,NO_ARF,160
2,3,NO_ARF,160
2,8,NO_ARF,160
1,2,NO_ARF,162
1,8,NO_ARF,162
2,10,NO_ARF,162
2,13,NO_ARF,162
1,7,NO_ARF,163
1,9,NO_ARF,163
2,2,NO_ARF,163
2,9,NO_ARF,163
2,11,NO_ARF,163
1,0,NO_ARF,164
1,1,NO_ARF,164
1,10,NO_ARF,164
1,11,NO_ARF,164
1,12,NO_ARF,164
1,14,NO_ARF,164
1,13,NO_ARF,165
1,15,NO_ARF,165
2,14,NO_ARF,165
2,15,NO_ARF,165
1,16,NO_ARF,166
2,16,NO_ARF,166
1,17,NO_ARF,167
1,18,NO_ARF,167
2,1,NO_ARF,168
1,19,NO_ARF,169
2,17,NO_ARF,169
1,20,NO_ARF,170
1,21,NO_ARF,170
1,23,NO_ARF,170
1,24,NO_ARF,170
1,27,NO_ARF,170
1,22,NO_ARF,171
1,25,NO_ARF,171
1,26,NO_ARF,171
1,28,NO_ARF,171
1,29,NO_ARF,172
2,18,NO_ARF,172
1,30,NO_ARF,173
1,31,NO_ARF,173
1,32,NO_ARF,173
1,33,NO_ARF,173
1,34,NO_ARF,173
1,35,NO_ARF,173
1,36,NO_ARF,173
1,37,NO_ARF,174
1,38,NO_ARF,174
1,39,NO_ARF,174
1,40,NO_ARF,174
1,41,NO_ARF,174
1,45,NO_ARF,174
1,46,NO_ARF,174
1,47,NO_ARF,174
1,48,NO_ARF,174
1,49,NO_ARF,174
1,50,NO_ARF,174
1,51,NO_ARF,174
1,42,NO_ARF,175
1,43,NO_ARF,175
1,44,NO_ARF,175
1,52,NO_ARF,175
1,53,NO_ARF,175
1,54,NO_ARF,175
1,55,NO_ARF,175
1,56,NO_ARF,175
1,57,NO_ARF,175
1,58,NO_ARF,175
1,59,NO_ARF,175
1,60,NO_ARF,175
1,61,NO_ARF,175
1,62,NO_ARF,175
1,63,NO_ARF,175
1,64,NO_ARF,175
1,65,NO_ARF,175
1,66,NO_ARF,175
1,67,NO_ARF,175
1,68,NO_ARF,175
1,69,NO_ARF,175
1,70,NO_ARF,175
1,71,NO_ARF,175
1,72,NO_ARF,175
2,0,NO_ARF,175
2,19,NO_ARF,175
2,20,NO_ARF,175
2,21,NO_ARF,175
2,24,NO_ARF,177
2,25,NO_ARF,177
2,26,NO_ARF,177
2,27,NO_ARF,177
2,29,NO_ARF,177
2,30,NO_ARF,177
2,22,NO_ARF,178
2,23,NO_ARF,178
2,28,NO_ARF,178
2,31,NO_ARF,178
2,32,NO_ARF,181
2,33,NO_ARF,182
2,59,NO_ARF,182
2,60,NO_ARF,182
2,34,NO_ARF,183
2,35,NO_ARF,183
2,36,NO_ARF,183
2,51,NO_ARF,183
2,52,NO_ARF,183
2,53,NO_ARF,183
2,54,NO_ARF,183
2,56,NO_ARF,183
2,57,NO_ARF,183
2,58,NO_ARF,183
2,61,NO_ARF,183
2,62,NO_ARF,183
2,37,NO_ARF,184
2,38,NO_ARF,184
2,39,NO_ARF,184
2,40,NO_ARF,184
2,41,NO_ARF,184
2,49,NO_ARF,184
2,50,NO_ARF,184
2,55,NO_ARF,184
2,63,NO_ARF,184
2,71,NO_ARF,184
2,72,NO_ARF,184
2,45,NO_ARF,185
2,48,NO_ARF,185
2,64,NO_ARF,185
2,65,NO_ARF,185
2,66,NO_ARF,185
2,67,NO_ARF,185
2,68,NO_ARF,185
2,69,NO_ARF,185
2,70,NO_ARF,185
2,42,NO_ARF,186
2,43,NO_ARF,186
2,44,NO_ARF,186
2,46,NO_ARF,186
2,47,NO_ARF,186
1,0,ARF_HYPER,<10
1,0,ARF_HYPOX,<10
1,0,ARF_MIXED,<10
1,1,ARF_HYPER,<10
1,1,ARF_HYPOX,<10
1,1,ARF_MIXED,<10
1,2,ARF_HYPER,<10
1,2,ARF_HYPOX,<10
1,2,ARF_MIXED,<10
1,3,ARF_HYPER,<10
1,3,ARF_HYPOX,<10
1,3,ARF_MIXED,<10
1,4,ARF_HYPER,<10
1,4,ARF_HYPOX,<10
1,4,ARF_MIXED,<10
1,5,ARF_HYPER,<10
1,5,ARF_HYPOX,<10
